subject_id,task_type,attempts,correct,accuracy,error_rate,reaction_time_ms_mean_correct,reaction_time_ms_median_correct,attempts_to_30_correct
pftest,Type1,31,30,0.967741935483871,0.032258064516129004,3053.2457333333336,1313.191,31
pftest,Type2,30,30,1.0,0.0,1351.5904666666668,1238.783,30
jh,Type1,34,30,0.8823529411764706,0.11764705882352944,2309.2593666666667,2111.7425000000003,34
jh,Type2,30,30,1.0,0.0,1505.3399999999997,1476.1785,30
irene,Type1,30,30,1.0,0.0,1738.9750999999999,1407.496,30
irene,Type2,30,30,1.0,0.0,1269.2012666666667,1200.19,30
yen,Type1,34,30,0.8823529411764706,0.11764705882352944,1659.1844999999998,1309.924,34
yen,Type2,30,30,1.0,0.0,1120.7814666666668,1009.643,30
lin,Type1,34,30,0.8823529411764706,0.11764705882352944,2099.918266666666,1688.2894999999999,34
lin,Type2,30,30,1.0,0.0,1263.9433333333334,1187.1305000000002,30
