held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.48333333333333334,4,COH__F4__F8__alpha;COH__Fz__F4__theta;BP__FP2__beta_high;COH__F4__F8__theta,0.7375,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.5,4,COH__F4__F8__alpha;COH__Fz__F4__theta;BP__FP2__beta_high;COH__F4__F8__theta,0.7375,0.6833333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.23137744865585788}"
irene,rest1_vs_type1,1,KFDA,0.5,4,COH__F4__F8__alpha;COH__Fz__F4__theta;BP__FP2__beta_high;COH__F4__F8__theta,0.7375,0.7041666666666667,"{""clf__C"": 50.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,LDA,0.5833333333333334,7,COH__Fz__F8__alpha;BP__F8__theta;ASYM_LOGRATIO__FP1__FP2__gamma;COH__FP1__F3__alpha;ASYM_LOGRATIO__F3__F4__alpha;COH__FP2__F4__theta;COH__Fz__F8__theta,0.8375,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.5166666666666667,7,COH__Fz__F8__alpha;BP__F8__theta;ASYM_LOGRATIO__FP1__FP2__gamma;COH__FP1__F3__alpha;ASYM_LOGRATIO__F3__F4__alpha;COH__FP2__F4__theta;COH__Fz__F8__theta,0.8375,0.8,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,KFDA,0.55,7,COH__Fz__F8__alpha;BP__F8__theta;ASYM_LOGRATIO__FP1__FP2__gamma;COH__FP1__F3__alpha;ASYM_LOGRATIO__F3__F4__alpha;COH__FP2__F4__theta;COH__Fz__F8__theta,0.8375,0.8,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,3,LDA,0.48333333333333334,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,,{}
lin,rest1_vs_type1,3,RBF-SVM,0.5,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,0.7666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 1.0}"
lin,rest1_vs_type1,3,KFDA,0.5166666666666667,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,0.775,"{""clf__C"": 50.0, ""clf__gamma"": 0.6139132535407591}"
pftest,rest1_vs_type1,4,LDA,0.5,9,COH__FP1__FP2__gamma;BP__F8__theta;COH__FP1__F7__gamma;COH__Fz__F8__alpha;COH__FP2__F8__theta;BP__FP1__beta_high;COH__FP1__FP2__alpha;BP__Fz__gamma;BP__FP1__gamma,0.8125,,{}
pftest,rest1_vs_type1,4,RBF-SVM,0.5,9,COH__FP1__FP2__gamma;BP__F8__theta;COH__FP1__F7__gamma;COH__Fz__F8__alpha;COH__FP2__F8__theta;BP__FP1__beta_high;COH__FP1__FP2__alpha;BP__Fz__gamma;BP__FP1__gamma,0.8125,0.75,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,4,KFDA,0.5,9,COH__FP1__FP2__gamma;BP__F8__theta;COH__FP1__F7__gamma;COH__Fz__F8__alpha;COH__FP2__F8__theta;BP__FP1__beta_high;COH__FP1__FP2__alpha;BP__Fz__gamma;BP__FP1__gamma,0.8125,0.725,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
yen,rest1_vs_type1,5,LDA,0.5333333333333333,5,COH__F4__F8__alpha;COH__Fz__F4__delta;BP__FP1__beta_high;COH__FP1__F7__delta;COH__F7__F4__delta,0.7208333333333333,,{}
yen,rest1_vs_type1,5,RBF-SVM,0.5333333333333333,5,COH__F4__F8__alpha;COH__Fz__F4__delta;BP__FP1__beta_high;COH__FP1__F7__delta;COH__F7__F4__delta,0.7208333333333333,0.6916666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
yen,rest1_vs_type1,5,KFDA,0.5333333333333333,5,COH__F4__F8__alpha;COH__Fz__F4__delta;BP__FP1__beta_high;COH__FP1__F7__delta;COH__F7__F4__delta,0.7208333333333333,0.7000000000000001,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest2_vs_type2,1,LDA,0.5666666666666667,8,COH__FP1__F3__beta_high;COH__FP1__FP2__alpha;COH__FP1__F7__alpha;COH__F7__F3__alpha;COH__F7__Fz__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__F4__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.7041666666666667,,{}
irene,rest2_vs_type2,1,RBF-SVM,0.5333333333333333,8,COH__FP1__F3__beta_high;COH__FP1__FP2__alpha;COH__FP1__F7__alpha;COH__F7__F3__alpha;COH__F7__Fz__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__F4__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.7041666666666667,0.675,"{""clf__C"": 1.0, ""clf__gamma"": 0.03286616756321879}"
irene,rest2_vs_type2,1,KFDA,0.5333333333333333,8,COH__FP1__F3__beta_high;COH__FP1__FP2__alpha;COH__FP1__F7__alpha;COH__F7__F3__alpha;COH__F7__Fz__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__F4__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.7041666666666667,0.6916666666666667,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,LDA,0.5166666666666667,4,COH__F7__F3__alpha;ASYM_LOGRATIO__F3__F4__beta_low;ASYM_LOGRATIO__FP1__FP2__alpha;COH__FP1__F8__alpha,0.7125,,{}
