analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,284,PLV__F7__F3__gamma,0.831111111111111,,True
intra,irene,rest1_vs_type1,1,2,102,COH__FP2__F8__delta,0.8733333333333334,0.04222222222222238,True
intra,irene,rest1_vs_type1,1,3,237,PLV__FP2__F7__beta_low,0.9377777777777776,0.0644444444444442,True
intra,irene,rest1_vs_type1,1,4,93,COH__FP2__Fz__beta_low,0.9577777777777777,0.02000000000000013,True
intra,irene,rest1_vs_type1,1,5,1,BP__FP1__theta,0.9577777777777777,0.0,False
intra,irene,rest1_vs_type1,2,1,59,COH__FP1__F3__gamma,0.8377777777777776,,True
intra,irene,rest1_vs_type1,2,2,194,PLV__FP1__F8__theta,0.9577777777777777,0.1200000000000001,True
intra,irene,rest1_vs_type1,2,3,21,BP__F3__beta_low,0.96,0.0022222222222222365,True
intra,irene,rest1_vs_type1,2,4,136,COH__F3__Fz__beta_high,0.9800000000000001,0.02000000000000013,True
intra,irene,rest1_vs_type1,2,5,11,BP__FP2__gamma,1.0,0.019999999999999907,True
intra,irene,rest1_vs_type1,2,6,17,BP__F7__gamma,1.0,0.0,False
intra,irene,rest1_vs_type1,3,1,284,PLV__F7__F3__gamma,0.8155555555555555,,True
intra,irene,rest1_vs_type1,3,2,202,PLV__F7__F4__theta,0.8555555555555555,0.040000000000000036,True
intra,irene,rest1_vs_type1,3,3,14,BP__F7__alpha,0.8755555555555556,0.02000000000000013,True
intra,irene,rest1_vs_type1,3,4,11,BP__FP2__gamma,0.8955555555555555,0.019999999999999907,True
intra,irene,rest1_vs_type1,3,5,47,COH__FP1__FP2__gamma,0.9155555555555555,0.019999999999999907,True
intra,irene,rest1_vs_type1,3,6,15,BP__F7__beta_low,0.9155555555555555,0.0,False
intra,irene,rest1_vs_type1,4,1,284,PLV__F7__F3__gamma,0.8088888888888889,,True
intra,irene,rest1_vs_type1,4,2,280,PLV__FP2__F3__gamma,0.8688888888888888,0.05999999999999994,True
intra,irene,rest1_vs_type1,4,3,137,COH__F3__Fz__gamma,0.8711111111111111,0.0022222222222222365,True
intra,irene,rest1_vs_type1,4,4,272,PLV__F4__F8__beta_high,0.9333333333333332,0.06222222222222218,True
intra,irene,rest1_vs_type1,4,5,2,BP__FP1__alpha,0.9333333333333332,0.0,False
intra,irene,rest1_vs_type1,5,1,284,PLV__F7__F3__gamma,0.7933333333333332,,True
intra,irene,rest1_vs_type1,5,2,54,COH__FP1__F3__delta,0.8777777777777779,0.08444444444444466,True
intra,irene,rest1_vs_type1,5,3,88,COH__FP2__F3__beta_high,0.8977777777777778,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,4,3,BP__FP1__beta_low,0.8977777777777778,0.0,False
intra,jh,rest1_vs_type1,1,1,287,PLV__F7__F8__gamma,0.8177777777777777,,True
intra,jh,rest1_vs_type1,1,2,50,COH__FP1__F7__alpha,0.8955555555555555,0.07777777777777783,True
intra,jh,rest1_vs_type1,1,3,142,COH__F3__F4__beta_high,0.9400000000000001,0.04444444444444451,True
intra,jh,rest1_vs_type1,1,4,0,BP__FP1__delta,0.9400000000000001,0.0,False
intra,jh,rest1_vs_type1,2,1,285,PLV__F7__Fz__gamma,0.8533333333333333,,True
intra,jh,rest1_vs_type1,2,2,50,COH__FP1__F7__alpha,0.9377777777777776,0.08444444444444432,True
intra,jh,rest1_vs_type1,2,3,54,COH__FP1__F3__delta,0.96,0.022222222222222365,True
intra,jh,rest1_vs_type1,2,4,119,COH__F7__Fz__gamma,0.9800000000000001,0.02000000000000013,True
intra,jh,rest1_vs_type1,2,5,1,BP__FP1__theta,0.9800000000000001,0.0,False
intra,jh,rest1_vs_type1,3,1,286,PLV__F7__F4__gamma,0.8111111111111111,,True
intra,jh,rest1_vs_type1,3,2,38,BP__F8__alpha,0.9177777777777777,0.10666666666666658,True
intra,jh,rest1_vs_type1,3,3,48,COH__FP1__F7__delta,0.9377777777777776,0.019999999999999907,True
intra,jh,rest1_vs_type1,3,4,3,BP__FP1__beta_low,0.96,0.022222222222222365,True
intra,jh,rest1_vs_type1,3,5,0,BP__FP1__delta,0.96,0.0,False
intra,jh,rest1_vs_type1,4,1,279,PLV__FP2__F7__gamma,0.8355555555555554,,True
intra,jh,rest1_vs_type1,4,2,20,BP__F3__alpha,0.8777777777777779,0.042222222222222494,True
intra,jh,rest1_vs_type1,4,3,17,BP__F7__gamma,0.9,0.022222222222222143,True
intra,jh,rest1_vs_type1,4,4,226,PLV__F3__F4__alpha,0.9199999999999999,0.019999999999999907,True
intra,jh,rest1_vs_type1,4,5,9,BP__FP2__beta_low,0.9199999999999999,0.0,False
intra,jh,rest1_vs_type1,5,1,287,PLV__F7__F8__gamma,0.7955555555555556,,True
intra,jh,rest1_vs_type1,5,2,221,PLV__F7__F3__alpha,0.9,0.10444444444444445,True
intra,jh,rest1_vs_type1,5,3,226,PLV__F3__F4__alpha,0.9,0.0,False
