subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.8,0.11180339887498948,5
irene,rest1_vs_type1,LDA,0.7333333333333333,0.14907119849998596,5
irene,rest1_vs_type1,RBF-SVM,0.7166666666666667,0.09501461875826149,5
irene,rest2_vs_type2,KFDA,0.6166666666666667,0.13944333775567924,5
irene,rest2_vs_type2,LDA,0.65,0.06972166887783958,5
irene,rest2_vs_type2,RBF-SVM,0.6666666666666666,0.05892556509887896,5
jh,rest1_vs_type1,KFDA,0.8166666666666667,0.12360330811826105,5
jh,rest1_vs_type1,LDA,0.8166666666666668,0.037267799624996524,5
jh,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.06972166887783962,5
jh,rest2_vs_type2,KFDA,0.6166666666666667,0.1394433377556793,5
jh,rest2_vs_type2,LDA,0.5833333333333334,0.13176156917368245,5
jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.15138251770487463,5
lin,rest1_vs_type1,KFDA,0.9333333333333333,0.10865337342004415,5
lin,rest1_vs_type1,LDA,0.9166666666666666,0.05892556509887893,5
lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.0697216688778396,5
lin,rest2_vs_type2,KFDA,0.85,0.10865337342004412,5
lin,rest2_vs_type2,LDA,0.9,0.06972166887783961,5
lin,rest2_vs_type2,RBF-SVM,0.85,0.06972166887783962,5
pftest,rest1_vs_type1,KFDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,LDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.045643546458763874,5
pftest,rest2_vs_type2,KFDA,0.8166666666666667,0.06972166887783962,5
pftest,rest2_vs_type2,LDA,0.8333333333333334,0.08333333333333329,5
pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.05892556509887895,5
yen,rest1_vs_type1,KFDA,0.7333333333333334,0.09128709291752768,5
yen,rest1_vs_type1,LDA,0.7,0.24008100484813225,5
yen,rest1_vs_type1,RBF-SVM,0.7666666666666666,0.09128709291752769,5
yen,rest2_vs_type2,KFDA,0.5166666666666667,0.2157029850924131,5
yen,rest2_vs_type2,LDA,0.4666666666666667,0.2006932429798716,5
yen,rest2_vs_type2,RBF-SVM,0.4833333333333334,0.2157029850924131,5
