scope,experiment,unit_id,comparison,classifier,accuracy_mean_baseline,accuracy_mean_extension,delta_accuracy
intra,e1_asymmetry,irene,rest1_vs_type1,KFDA,0.7166666666666667,0.85,0.1333333333333333
intra,e1_asymmetry,irene,rest1_vs_type1,LDA,0.7333333333333333,0.8833333333333332,0.1499999999999999
intra,e1_asymmetry,irene,rest1_vs_type1,RBF-SVM,0.7666666666666667,0.8333333333333334,0.06666666666666665
intra,e1_asymmetry,irene,rest2_vs_type2,KFDA,0.7666666666666667,0.7333333333333334,-0.033333333333333326
intra,e1_asymmetry,irene,rest2_vs_type2,LDA,0.7,0.7166666666666667,0.01666666666666672
intra,e1_asymmetry,irene,rest2_vs_type2,RBF-SVM,0.75,0.6666666666666667,-0.08333333333333326
intra,e1_asymmetry,jh,rest1_vs_type1,KFDA,0.7166666666666667,0.7166666666666667,0.0
intra,e1_asymmetry,jh,rest1_vs_type1,LDA,0.6666666666666666,0.6666666666666666,0.0
intra,e1_asymmetry,jh,rest1_vs_type1,RBF-SVM,0.6166666666666666,0.6166666666666666,0.0
intra,e1_asymmetry,jh,rest2_vs_type2,KFDA,0.6166666666666666,0.65,0.03333333333333344
intra,e1_asymmetry,jh,rest2_vs_type2,LDA,0.6166666666666666,0.6333333333333333,0.01666666666666672
intra,e1_asymmetry,jh,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.6166666666666666,-0.01666666666666683
intra,e1_asymmetry,lin,rest1_vs_type1,KFDA,0.9333333333333332,0.9333333333333332,0.0
intra,e1_asymmetry,lin,rest1_vs_type1,LDA,0.9166666666666666,0.9166666666666666,0.0
intra,e1_asymmetry,lin,rest1_vs_type1,RBF-SVM,0.9333333333333332,0.9333333333333332,0.0
intra,e1_asymmetry,lin,rest2_vs_type2,KFDA,0.8333333333333333,0.8333333333333333,0.0
intra,e1_asymmetry,lin,rest2_vs_type2,LDA,0.8333333333333334,0.8333333333333334,0.0
intra,e1_asymmetry,lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.8333333333333334,0.0
intra,e1_asymmetry,pftest,rest1_vs_type1,KFDA,0.95,0.95,0.0
intra,e1_asymmetry,pftest,rest1_vs_type1,LDA,0.95,0.95,0.0
intra,e1_asymmetry,pftest,rest1_vs_type1,RBF-SVM,0.95,0.95,0.0
intra,e1_asymmetry,pftest,rest2_vs_type2,KFDA,0.8333333333333334,0.8333333333333334,0.0
intra,e1_asymmetry,pftest,rest2_vs_type2,LDA,0.8333333333333334,0.8333333333333334,0.0
intra,e1_asymmetry,pftest,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.8333333333333334,0.0
intra,e1_asymmetry,yen,rest1_vs_type1,KFDA,0.8,0.7666666666666667,-0.033333333333333326
intra,e1_asymmetry,yen,rest1_vs_type1,LDA,0.75,0.75,0.0
intra,e1_asymmetry,yen,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.8,-0.016666666666666607
intra,e1_asymmetry,yen,rest2_vs_type2,KFDA,0.5333333333333334,0.5,-0.03333333333333344
intra,e1_asymmetry,yen,rest2_vs_type2,LDA,0.5666666666666667,0.5,-0.06666666666666665
intra,e1_asymmetry,yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.4833333333333333,-0.03333333333333344
inter,e1_asymmetry,irene,rest1_vs_type1,LDA,0.4833333333333333,0.4833333333333333,0.0
inter,e1_asymmetry,irene,rest1_vs_type1,RBF-SVM,0.5,0.5,0.0
inter,e1_asymmetry,irene,rest1_vs_type1,KFDA,0.5,0.5,0.0
inter,e1_asymmetry,jh,rest1_vs_type1,LDA,0.6166666666666667,0.5833333333333334,-0.033333333333333326
inter,e1_asymmetry,jh,rest1_vs_type1,RBF-SVM,0.6333333333333333,0.5166666666666667,-0.11666666666666659
inter,e1_asymmetry,jh,rest1_vs_type1,KFDA,0.6166666666666667,0.55,-0.06666666666666665
inter,e1_asymmetry,lin,rest1_vs_type1,LDA,0.4833333333333333,0.4833333333333333,0.0
inter,e1_asymmetry,lin,rest1_vs_type1,RBF-SVM,0.5,0.5,0.0
inter,e1_asymmetry,lin,rest1_vs_type1,KFDA,0.5166666666666667,0.5166666666666667,0.0
inter,e1_asymmetry,pftest,rest1_vs_type1,LDA,0.5,0.5,0.0
inter,e1_asymmetry,pftest,rest1_vs_type1,RBF-SVM,0.5,0.5,0.0
inter,e1_asymmetry,pftest,rest1_vs_type1,KFDA,0.5,0.5,0.0
inter,e1_asymmetry,yen,rest1_vs_type1,LDA,0.5333333333333333,0.5333333333333333,0.0
