scope,experiment,comparison,classifier,delta_mean,delta_std,n_units
inter,e1_asymmetry,rest1_vs_type1,KFDA,-0.01333333333333333,0.02981423969999719,5
inter,e1_asymmetry,rest1_vs_type1,LDA,-0.006666666666666665,0.014907119849998596,5
inter,e1_asymmetry,rest1_vs_type1,RBF-SVM,-0.023333333333333317,0.05217491947499506,5
inter,e1_asymmetry,rest2_vs_type2,KFDA,0.009999999999999986,0.03248931448269655,5
inter,e1_asymmetry,rest2_vs_type2,LDA,0.020000000000000018,0.03613247231446468,5
inter,e1_asymmetry,rest2_vs_type2,RBF-SVM,0.009999999999999986,0.03248931448269655,5
inter,e2_plv,rest1_vs_type1,KFDA,0.1333333333333333,0.09574271077563383,5
inter,e2_plv,rest1_vs_type1,LDA,0.16333333333333336,0.11017662587358941,5
inter,e2_plv,rest1_vs_type1,RBF-SVM,0.12666666666666665,0.0886629071884692,5
inter,e2_plv,rest2_vs_type2,KFDA,0.003333333333333366,0.03415650255319866,5
inter,e2_plv,rest2_vs_type2,LDA,0.0,0.011785113019775828,5
inter,e2_plv,rest2_vs_type2,RBF-SVM,0.0,0.020412414523193145,5
intra,e1_asymmetry,rest1_vs_type1,KFDA,0.019999999999999997,0.06497862896539308,5
intra,e1_asymmetry,rest1_vs_type1,LDA,0.02999999999999998,0.06708203932499365,5
intra,e1_asymmetry,rest1_vs_type1,RBF-SVM,0.010000000000000009,0.03248931448269653,5
intra,e1_asymmetry,rest2_vs_type2,KFDA,-0.006666666666666665,0.02788866755113591,5
intra,e1_asymmetry,rest2_vs_type2,LDA,-0.006666666666666643,0.034560735588879544,5
intra,e1_asymmetry,rest2_vs_type2,RBF-SVM,-0.026666666666666707,0.0345607355888795,5
intra,e2_plv,rest1_vs_type1,KFDA,0.023333333333333338,0.06831300510639732,5
intra,e2_plv,rest1_vs_type1,LDA,0.020000000000000018,0.07582875444051557,5
intra,e2_plv,rest1_vs_type1,RBF-SVM,0.019999999999999997,0.10368220676663865,5
intra,e2_plv,rest2_vs_type2,KFDA,-0.033333333333333326,0.0666666666666667,5
intra,e2_plv,rest2_vs_type2,LDA,-0.023333333333333296,0.061913918736689014,5
intra,e2_plv,rest2_vs_type2,RBF-SVM,-0.020000000000000018,0.039791121287711076,5
