scope,experiment,feature_set,comparison,classifier,accuracy_mean,accuracy_std,n_units
inter,e1_asymmetry,baseline_asym,rest1_vs_type1,KFDA,0.52,0.021730674684008845,5
inter,e2_plv,baseline_plv,rest1_vs_type1,KFDA,0.6666666666666666,0.06346477588219923,5
inter,poster_baseline,baseline,rest1_vs_type1,KFDA,0.5333333333333333,0.0485912657903775,5
inter,e1_asymmetry,baseline_asym,rest1_vs_type1,LDA,0.5166666666666667,0.042491829279939886,5
inter,e2_plv,baseline_plv,rest1_vs_type1,LDA,0.6866666666666668,0.08692269873603534,5
inter,poster_baseline,baseline,rest1_vs_type1,LDA,0.5233333333333333,0.0560257877132387,5
inter,e1_asymmetry,baseline_asym,rest1_vs_type1,RBF-SVM,0.51,0.014907119849998606,5
inter,e2_plv,baseline_plv,rest1_vs_type1,RBF-SVM,0.6599999999999999,0.053489355119603996,5
inter,poster_baseline,baseline,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.0577350269189625,5
inter,e1_asymmetry,baseline_asym,rest2_vs_type2,KFDA,0.5,0.08579691784155834,5
inter,e2_plv,baseline_plv,rest2_vs_type2,KFDA,0.49333333333333335,0.056025787713238705,5
inter,poster_baseline,baseline,rest2_vs_type2,KFDA,0.4899999999999999,0.0846561673280019,5
inter,e1_asymmetry,baseline_asym,rest2_vs_type2,LDA,0.5466666666666666,0.0462481230850387,5
inter,e2_plv,baseline_plv,rest2_vs_type2,LDA,0.5266666666666666,0.04346134936801764,5
inter,poster_baseline,baseline,rest2_vs_type2,LDA,0.5266666666666666,0.053489355119604,5
inter,e1_asymmetry,baseline_asym,rest2_vs_type2,RBF-SVM,0.5266666666666666,0.02788866755113586,5
inter,e2_plv,baseline_plv,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.026352313834736536,5
inter,poster_baseline,baseline,rest2_vs_type2,RBF-SVM,0.5166666666666666,0.0372677996249964,5
intra,e1_asymmetry,baseline_asym,rest1_vs_type1,KFDA,0.8433333333333334,0.10178954323068311,5
intra,e2_plv,baseline_plv,rest1_vs_type1,KFDA,0.8466666666666667,0.0923459678479671,5
intra,poster_baseline,baseline,rest1_vs_type1,KFDA,0.8233333333333335,0.1134068389080266,5
intra,e1_asymmetry,baseline_asym,rest1_vs_type1,LDA,0.8333333333333333,0.12018504251546627,5
intra,e2_plv,baseline_plv,rest1_vs_type1,LDA,0.8233333333333333,0.109671225842414,5
intra,poster_baseline,baseline,rest1_vs_type1,LDA,0.8033333333333333,0.1232657472473373,5
intra,e1_asymmetry,baseline_asym,rest1_vs_type1,RBF-SVM,0.8266666666666665,0.1336454679781964,5
intra,e2_plv,baseline_plv,rest1_vs_type1,RBF-SVM,0.8366666666666667,0.10233387622005836,5
intra,poster_baseline,baseline,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.1359125535858341,5
intra,e1_asymmetry,baseline_asym,rest2_vs_type2,KFDA,0.71,0.14023789311975085,5
intra,e2_plv,baseline_plv,rest2_vs_type2,KFDA,0.6833333333333333,0.14337208778404376,5
intra,poster_baseline,baseline,rest2_vs_type2,KFDA,0.7166666666666667,0.135400640077266,5
intra,e1_asymmetry,baseline_asym,rest2_vs_type2,LDA,0.7033333333333334,0.14161763857498672,5
intra,e2_plv,baseline_plv,rest2_vs_type2,LDA,0.6866666666666668,0.17849680980653718,5
intra,poster_baseline,baseline,rest2_vs_type2,LDA,0.71,0.1222474721392817,5
intra,e1_asymmetry,baseline_asym,rest2_vs_type2,RBF-SVM,0.6866666666666668,0.14972196454317144,5
intra,e2_plv,baseline_plv,rest2_vs_type2,RBF-SVM,0.6933333333333334,0.1521147227880618,5
intra,poster_baseline,baseline,rest2_vs_type2,RBF-SVM,0.7133333333333334,0.1371333495381614,5
