scope,feature_set,comparison,classifier,accuracy_mean,accuracy_std,n_units
intra,all,rest1_vs_type1,KFDA,0.8233333333333335,0.1134068389080266,5
intra,all,rest1_vs_type1,LDA,0.8033333333333333,0.1232657472473373,5
intra,all,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.1359125535858341,5
intra,all,rest2_vs_type2,KFDA,0.7166666666666667,0.135400640077266,5
intra,all,rest2_vs_type2,LDA,0.71,0.1222474721392817,5
intra,all,rest2_vs_type2,RBF-SVM,0.7133333333333334,0.1371333495381614,5
inter,all,rest1_vs_type1,KFDA,0.5333333333333333,0.0485912657903775,5
inter,all,rest1_vs_type1,LDA,0.5233333333333333,0.0560257877132387,5
inter,all,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.0577350269189625,5
inter,all,rest2_vs_type2,KFDA,0.4899999999999999,0.0846561673280019,5
inter,all,rest2_vs_type2,LDA,0.5266666666666666,0.053489355119604,5
inter,all,rest2_vs_type2,RBF-SVM,0.5166666666666666,0.0372677996249964,5
intra,bp,rest1_vs_type1,KFDA,0.7733333333333333,0.0760116950066092,5
intra,bp,rest1_vs_type1,LDA,0.7833333333333333,0.0513701166914081,5
intra,bp,rest1_vs_type1,RBF-SVM,0.7966666666666666,0.0660387091871965,5
intra,bp,rest2_vs_type2,KFDA,0.74,0.0641179468722377,5
intra,bp,rest2_vs_type2,LDA,0.7166666666666667,0.0935414346693485,5
intra,bp,rest2_vs_type2,RBF-SVM,0.71,0.0732196087882959,5
inter,bp,rest1_vs_type1,KFDA,0.5266666666666666,0.0508265022732563,5
inter,bp,rest1_vs_type1,LDA,0.51,0.0223606797749979,5
inter,bp,rest1_vs_type1,RBF-SVM,0.5166666666666667,0.0235702260395516,5
inter,bp,rest2_vs_type2,KFDA,0.49,0.036514837167011,5
inter,bp,rest2_vs_type2,LDA,0.47,0.0505525029603436,5
inter,bp,rest2_vs_type2,RBF-SVM,0.47,0.0361324723144646,5
intra,coh,rest1_vs_type1,KFDA,0.77,0.1587275793441216,5
intra,coh,rest1_vs_type1,LDA,0.7699999999999999,0.1604680653588121,5
intra,coh,rest1_vs_type1,RBF-SVM,0.7733333333333333,0.1609865418805767,5
intra,coh,rest2_vs_type2,KFDA,0.7166666666666666,0.119605834120061,5
intra,coh,rest2_vs_type2,LDA,0.6966666666666667,0.1243873877136352,5
intra,coh,rest2_vs_type2,RBF-SVM,0.7100000000000001,0.1382429423555181,5
inter,coh,rest1_vs_type1,KFDA,0.5399999999999999,0.0383695481107377,5
inter,coh,rest1_vs_type1,LDA,0.5433333333333333,0.0672887641272878,5
inter,coh,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.0485912657903775,5
inter,coh,rest2_vs_type2,KFDA,0.4733333333333333,0.0917423929634859,5
inter,coh,rest2_vs_type2,LDA,0.4966666666666667,0.0247206616236522,5
inter,coh,rest2_vs_type2,RBF-SVM,0.5066666666666666,0.0278886675511358,5
