comparison,feature,selection_count
rest1_vs_type1,BP__F3__gamma,2
rest1_vs_type1,BP__F8__delta,2
rest1_vs_type1,BP__F4__beta_high,1
rest1_vs_type1,BP__F4__beta_low,1
rest1_vs_type1,BP__F7__beta_high,1
rest1_vs_type1,BP__F8__alpha,1
rest1_vs_type1,BP__F8__theta,1
rest1_vs_type1,BP__FP1__alpha,1
rest2_vs_type2,BP__F3__gamma,2
rest2_vs_type2,BP__F7__alpha,2
rest2_vs_type2,BP__F7__theta,2
rest2_vs_type2,BP__Fz__alpha,2
rest2_vs_type2,BP__F3__beta_high,1
rest2_vs_type2,BP__F8__beta_low,1
rest2_vs_type2,BP__F8__gamma,1
rest2_vs_type2,BP__F8__theta,1
rest2_vs_type2,BP__FP1__delta,1
rest2_vs_type2,BP__FP1__theta,1
rest2_vs_type2,BP__FP2__gamma,1
rest2_vs_type2,BP__Fz__beta_high,1
rest2_vs_type2,BP__Fz__theta,1
