analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,34,BP__F4__beta_high,0.6375000000000001,,True
inter,irene,rest1_vs_type1,1,2,37,BP__F8__theta,0.6208333333333333,-0.01666666666666672,False
inter,jh,rest1_vs_type1,2,1,37,BP__F8__theta,0.5625,,True
inter,jh,rest1_vs_type1,2,2,36,BP__F8__delta,0.6125,0.050000000000000044,True
inter,jh,rest1_vs_type1,2,3,38,BP__F8__alpha,0.6708333333333333,0.05833333333333324,True
inter,jh,rest1_vs_type1,2,4,8,BP__FP2__alpha,0.6625,-0.008333333333333304,False
inter,lin,rest1_vs_type1,3,1,23,BP__F3__gamma,0.6375,,True
inter,lin,rest1_vs_type1,3,2,1,BP__FP1__theta,0.6333333333333333,-0.004166666666666652,False
inter,pftest,rest1_vs_type1,4,1,36,BP__F8__delta,0.6,,True
inter,pftest,rest1_vs_type1,4,2,37,BP__F8__theta,0.5458333333333334,-0.054166666666666585,False
inter,yen,rest1_vs_type1,5,1,23,BP__F3__gamma,0.5958333333333333,,True
inter,yen,rest1_vs_type1,5,2,16,BP__F7__beta_high,0.6375,0.04166666666666663,True
inter,yen,rest1_vs_type1,5,3,2,BP__FP1__alpha,0.6625,0.025000000000000022,True
inter,yen,rest1_vs_type1,5,4,33,BP__F4__beta_low,0.6666666666666667,0.004166666666666763,True
inter,yen,rest1_vs_type1,5,5,1,BP__FP1__theta,0.6666666666666666,-1.1102230246251565e-16,False
inter,irene,rest2_vs_type2,1,1,26,BP__Fz__alpha,0.5875,,True
inter,irene,rest2_vs_type2,1,2,25,BP__Fz__theta,0.5916666666666667,0.004166666666666652,True
inter,irene,rest2_vs_type2,1,3,13,BP__F7__theta,0.6333333333333333,0.04166666666666663,True
inter,irene,rest2_vs_type2,1,4,28,BP__Fz__beta_high,0.6541666666666666,0.02083333333333326,True
inter,irene,rest2_vs_type2,1,5,23,BP__F3__gamma,0.6666666666666667,0.012500000000000178,True
inter,irene,rest2_vs_type2,1,6,1,BP__FP1__theta,0.675,0.008333333333333304,True
inter,irene,rest2_vs_type2,1,7,37,BP__F8__theta,0.7,0.02499999999999991,True
inter,irene,rest2_vs_type2,1,8,0,BP__FP1__delta,0.7124999999999999,0.012499999999999956,True
inter,irene,rest2_vs_type2,1,9,12,BP__F7__delta,0.7124999999999999,0.0,False
inter,jh,rest2_vs_type2,2,1,14,BP__F7__alpha,0.6625,,True
inter,jh,rest2_vs_type2,2,2,32,BP__F4__alpha,0.6583333333333333,-0.004166666666666652,False
inter,lin,rest2_vs_type2,3,1,13,BP__F7__theta,0.5541666666666667,,True
inter,lin,rest2_vs_type2,3,2,39,BP__F8__beta_low,0.5916666666666666,0.03749999999999987,True
inter,lin,rest2_vs_type2,3,3,26,BP__Fz__alpha,0.6000000000000001,0.008333333333333526,True
inter,lin,rest2_vs_type2,3,4,12,BP__F7__delta,0.5875,-0.012500000000000067,False
inter,pftest,rest2_vs_type2,4,1,14,BP__F7__alpha,0.5916666666666668,,True
inter,pftest,rest2_vs_type2,4,2,23,BP__F3__gamma,0.6458333333333333,0.054166666666666474,True
inter,pftest,rest2_vs_type2,4,3,11,BP__FP2__gamma,0.6916666666666667,0.04583333333333339,True
inter,pftest,rest2_vs_type2,4,4,22,BP__F3__beta_high,0.7166666666666666,0.02499999999999991,True
inter,pftest,rest2_vs_type2,4,5,28,BP__Fz__beta_high,0.7124999999999999,-0.004166666666666652,False
inter,yen,rest2_vs_type2,5,1,41,BP__F8__gamma,0.5916666666666667,,True
inter,yen,rest2_vs_type2,5,2,19,BP__F3__theta,0.5791666666666667,-0.012499999999999956,False
