subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.9166666666666666,3,BP__F7__gamma;BP__F8__gamma;BP__FP1__theta,0.9155555555555555,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.9166666666666666,3,BP__F7__gamma;BP__F8__gamma;BP__FP1__theta,0.9155555555555555,0.9400000000000001,"{""clf__C"": 50.0, ""clf__gamma"": 0.14204568230027764}"
irene,rest1_vs_type1,1,KFDA,0.9166666666666666,3,BP__F7__gamma;BP__F8__gamma;BP__FP1__theta,0.9155555555555555,0.8977777777777778,"{""clf__C"": 1000.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,2,LDA,0.8333333333333334,4,BP__Fz__alpha;BP__F7__alpha;BP__FP2__delta;BP__FP1__delta,0.9355555555555555,,{}
irene,rest1_vs_type1,2,RBF-SVM,0.75,4,BP__Fz__alpha;BP__F7__alpha;BP__FP2__delta;BP__FP1__delta,0.9355555555555555,0.9155555555555555,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,2,KFDA,0.6666666666666666,4,BP__Fz__alpha;BP__F7__alpha;BP__FP2__delta;BP__FP1__delta,0.9355555555555555,0.8955555555555555,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
irene,rest1_vs_type1,3,LDA,0.6666666666666666,4,BP__F3__beta_low;BP__F7__alpha;BP__F3__alpha;BP__F7__beta_low,0.8733333333333334,,{}
irene,rest1_vs_type1,3,RBF-SVM,0.75,4,BP__F3__beta_low;BP__F7__alpha;BP__F3__alpha;BP__F7__beta_low,0.8733333333333334,0.8755555555555556,"{""clf__C"": 10.0, ""clf__gamma"": 0.14204568230027764}"
irene,rest1_vs_type1,3,KFDA,0.8333333333333334,4,BP__F3__beta_low;BP__F7__alpha;BP__F3__alpha;BP__F7__beta_low,0.8733333333333334,0.8533333333333333,"{""clf__C"": 50.0, ""clf__gamma"": 0.03286616756321879}"
irene,rest1_vs_type1,4,LDA,0.9166666666666666,4,BP__F7__gamma;BP__F8__gamma;BP__F8__alpha;BP__Fz__beta_low,0.9577777777777777,,{}
