analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,17,BP__F7__gamma,0.6844444444444444,,True
intra,irene,rest1_vs_type1,1,2,41,BP__F8__gamma,0.8711111111111111,0.18666666666666665,True
intra,irene,rest1_vs_type1,1,3,1,BP__FP1__theta,0.9155555555555555,0.0444444444444444,True
intra,irene,rest1_vs_type1,1,4,7,BP__FP2__theta,0.9155555555555555,0.0,False
intra,irene,rest1_vs_type1,2,1,26,BP__Fz__alpha,0.6444444444444444,,True
intra,irene,rest1_vs_type1,2,2,14,BP__F7__alpha,0.7888888888888889,0.1444444444444445,True
intra,irene,rest1_vs_type1,2,3,6,BP__FP2__delta,0.8755555555555556,0.08666666666666678,True
intra,irene,rest1_vs_type1,2,4,0,BP__FP1__delta,0.9355555555555555,0.05999999999999983,True
intra,irene,rest1_vs_type1,2,5,1,BP__FP1__theta,0.9355555555555555,0.0,False
intra,irene,rest1_vs_type1,3,1,21,BP__F3__beta_low,0.6488888888888888,,True
intra,irene,rest1_vs_type1,3,2,14,BP__F7__alpha,0.7955555555555556,0.14666666666666672,True
intra,irene,rest1_vs_type1,3,3,20,BP__F3__alpha,0.8133333333333335,0.017777777777777892,True
intra,irene,rest1_vs_type1,3,4,15,BP__F7__beta_low,0.8733333333333334,0.05999999999999994,True
intra,irene,rest1_vs_type1,3,5,1,BP__FP1__theta,0.8733333333333334,0.0,False
intra,irene,rest1_vs_type1,4,1,17,BP__F7__gamma,0.6666666666666666,,True
intra,irene,rest1_vs_type1,4,2,41,BP__F8__gamma,0.8955555555555555,0.22888888888888892,True
intra,irene,rest1_vs_type1,4,3,38,BP__F8__alpha,0.9355555555555555,0.039999999999999925,True
intra,irene,rest1_vs_type1,4,4,27,BP__Fz__beta_low,0.9577777777777777,0.022222222222222254,True
intra,irene,rest1_vs_type1,4,5,28,BP__Fz__beta_high,0.9377777777777776,-0.02000000000000013,False
intra,irene,rest1_vs_type1,5,1,17,BP__F7__gamma,0.7533333333333332,,True
intra,irene,rest1_vs_type1,5,2,41,BP__F8__gamma,0.9199999999999999,0.16666666666666674,True
intra,irene,rest1_vs_type1,5,3,14,BP__F7__alpha,0.9400000000000001,0.02000000000000013,True
intra,irene,rest1_vs_type1,5,4,0,BP__FP1__delta,0.96,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,5,20,BP__F3__alpha,0.9800000000000001,0.02000000000000013,True
intra,irene,rest1_vs_type1,5,6,8,BP__FP2__alpha,1.0,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,7,32,BP__F4__alpha,1.0,0.0,False
intra,jh,rest1_vs_type1,1,1,2,BP__FP1__alpha,0.7933333333333332,,True
intra,jh,rest1_vs_type1,1,2,16,BP__F7__beta_high,0.7933333333333332,0.0,False
intra,jh,rest1_vs_type1,2,1,14,BP__F7__alpha,0.7511111111111111,,True
intra,jh,rest1_vs_type1,2,2,29,BP__Fz__gamma,0.7511111111111111,0.0,False
intra,jh,rest1_vs_type1,3,1,14,BP__F7__alpha,0.8088888888888889,,True
intra,jh,rest1_vs_type1,3,2,6,BP__FP2__delta,0.8311111111111111,0.022222222222222254,True
intra,jh,rest1_vs_type1,3,3,1,BP__FP1__theta,0.8533333333333333,0.022222222222222143,True
intra,jh,rest1_vs_type1,3,4,3,BP__FP1__beta_low,0.8555555555555555,0.0022222222222222365,True
intra,jh,rest1_vs_type1,3,5,4,BP__FP1__beta_high,0.8755555555555556,0.02000000000000013,True
intra,jh,rest1_vs_type1,3,6,10,BP__FP2__beta_high,0.8755555555555556,0.0,False
intra,jh,rest1_vs_type1,4,1,14,BP__F7__alpha,0.78,,True
intra,jh,rest1_vs_type1,4,2,17,BP__F7__gamma,0.8155555555555555,0.03555555555555545,True
intra,jh,rest1_vs_type1,4,3,2,BP__FP1__alpha,0.8155555555555555,0.0,False
intra,jh,rest1_vs_type1,5,1,14,BP__F7__alpha,0.7911111111111111,,True
intra,jh,rest1_vs_type1,5,2,4,BP__FP1__beta_high,0.7911111111111111,0.0,False
intra,lin,rest1_vs_type1,1,1,20,BP__F3__alpha,0.8088888888888889,,True
intra,lin,rest1_vs_type1,1,2,31,BP__F4__theta,0.8711111111111111,0.06222222222222218,True
intra,lin,rest1_vs_type1,1,3,14,BP__F7__alpha,0.9133333333333333,0.04222222222222227,True
intra,lin,rest1_vs_type1,1,4,18,BP__F3__delta,0.9133333333333333,0.0,False
intra,lin,rest1_vs_type1,2,1,20,BP__F3__alpha,0.7733333333333333,,True
intra,lin,rest1_vs_type1,2,2,25,BP__Fz__theta,0.8377777777777776,0.0644444444444443,True
intra,lin,rest1_vs_type1,2,3,1,BP__FP1__theta,0.857777777777778,0.02000000000000035,True
intra,lin,rest1_vs_type1,2,4,14,BP__F7__alpha,0.8977777777777778,0.039999999999999813,True
intra,lin,rest1_vs_type1,2,5,33,BP__F4__beta_low,0.9177777777777777,0.019999999999999907,True
intra,lin,rest1_vs_type1,2,6,5,BP__FP1__gamma,0.9177777777777777,0.0,False
intra,lin,rest1_vs_type1,3,1,32,BP__F4__alpha,0.7711111111111111,,True
intra,lin,rest1_vs_type1,3,2,35,BP__F4__gamma,0.8133333333333332,0.04222222222222216,True
intra,lin,rest1_vs_type1,3,3,0,BP__FP1__delta,0.8133333333333332,0.0,False
intra,lin,rest1_vs_type1,4,1,20,BP__F3__alpha,0.7755555555555556,,True
intra,lin,rest1_vs_type1,4,2,26,BP__Fz__alpha,0.7777777777777778,0.0022222222222222365,True
intra,lin,rest1_vs_type1,4,3,16,BP__F7__beta_high,0.8377777777777776,0.05999999999999983,True
intra,lin,rest1_vs_type1,4,4,29,BP__Fz__gamma,0.8755555555555556,0.03777777777777802,True
intra,lin,rest1_vs_type1,4,5,25,BP__Fz__theta,0.96,0.08444444444444432,True
intra,lin,rest1_vs_type1,4,6,41,BP__F8__gamma,0.9800000000000001,0.02000000000000013,True
intra,lin,rest1_vs_type1,4,7,0,BP__FP1__delta,0.9800000000000001,0.0,False
intra,lin,rest1_vs_type1,5,1,14,BP__F7__alpha,0.7755555555555554,,True
