subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.7833333333333333,0.11180339887498951,5
irene,rest1_vs_type1,LDA,0.8,0.1263812574008592,5
irene,rest1_vs_type1,RBF-SVM,0.8166666666666667,0.09128709291752765,5
irene,rest2_vs_type2,KFDA,0.75,0.058925565098879,5
irene,rest2_vs_type2,LDA,0.7,0.07453559924999296,5
irene,rest2_vs_type2,RBF-SVM,0.7,0.1118033988749895,5
jh,rest1_vs_type1,KFDA,0.75,0.10206207261596575,5
jh,rest1_vs_type1,LDA,0.75,0.10206207261596575,5
jh,rest1_vs_type1,RBF-SVM,0.7333333333333333,0.12360330811826102,5
jh,rest2_vs_type2,KFDA,0.7833333333333333,0.15138251770487457,5
jh,rest2_vs_type2,LDA,0.6166666666666667,0.1513825177048746,5
jh,rest2_vs_type2,RBF-SVM,0.6833333333333333,0.23863035105460592,5
lin,rest1_vs_type1,KFDA,0.7166666666666667,0.09501461875826149,5
lin,rest1_vs_type1,LDA,0.75,0.1317615691736825,5
lin,rest1_vs_type1,RBF-SVM,0.75,0.1767766952966369,5
lin,rest2_vs_type2,KFDA,0.8166666666666667,0.14907119849998593,5
lin,rest2_vs_type2,LDA,0.85,0.12360330811826105,5
lin,rest2_vs_type2,RBF-SVM,0.8166666666666667,0.1602948671805945,5
pftest,rest1_vs_type1,KFDA,0.9,0.10865337342004414,5
pftest,rest1_vs_type1,LDA,0.8666666666666666,0.11180339887498951,5
pftest,rest1_vs_type1,RBF-SVM,0.9,0.10865337342004414,5
pftest,rest2_vs_type2,KFDA,0.6833333333333333,0.10865337342004416,5
pftest,rest2_vs_type2,LDA,0.7666666666666667,0.12360330811826102,5
pftest,rest2_vs_type2,RBF-SVM,0.7333333333333333,0.16029486718059455,5
yen,rest1_vs_type1,KFDA,0.7166666666666667,0.07453559924999294,5
yen,rest1_vs_type1,LDA,0.75,0.10206207261596577,5
yen,rest1_vs_type1,RBF-SVM,0.7833333333333333,0.07453559924999298,5
yen,rest2_vs_type2,KFDA,0.6666666666666667,0.1559023911155809,5
yen,rest2_vs_type2,LDA,0.65,0.14907119849998596,5
yen,rest2_vs_type2,RBF-SVM,0.6166666666666667,0.09501461875826148,5
