held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.65,10,COH__F4__F8__alpha;COH__Fz__F4__theta;COH__FP1__FP2__theta;COH__FP1__F3__alpha;COH__F7__F8__alpha;COH__F3__F8__gamma;COH__FP2__Fz__beta_high;COH__F3__Fz__delta;COH__FP1__F8__delta;COH__FP1__Fz__delta,0.8208333333333334,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.6166666666666667,10,COH__F4__F8__alpha;COH__Fz__F4__theta;COH__FP1__FP2__theta;COH__FP1__F3__alpha;COH__F7__F8__alpha;COH__F3__F8__gamma;COH__FP2__Fz__beta_high;COH__F3__Fz__delta;COH__FP1__F8__delta;COH__FP1__Fz__delta,0.8208333333333334,0.7916666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
irene,rest1_vs_type1,1,KFDA,0.6,10,COH__F4__F8__alpha;COH__Fz__F4__theta;COH__FP1__FP2__theta;COH__FP1__F3__alpha;COH__F7__F8__alpha;COH__F3__F8__gamma;COH__FP2__Fz__beta_high;COH__F3__Fz__delta;COH__FP1__F8__delta;COH__FP1__Fz__delta,0.8208333333333334,0.7916666666666667,"{""clf__C"": 100.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,LDA,0.5666666666666667,7,COH__Fz__F8__alpha;COH__F3__F4__beta_low;COH__F7__F8__beta_low;COH__F3__F4__beta_high;COH__FP2__F4__gamma;COH__F3__Fz__beta_high;COH__FP2__F3__beta_low,0.8291666666666666,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.5166666666666667,7,COH__Fz__F8__alpha;COH__F3__F4__beta_low;COH__F7__F8__beta_low;COH__F3__F4__beta_high;COH__FP2__F4__gamma;COH__F3__Fz__beta_high;COH__FP2__F3__beta_low,0.8291666666666666,0.7833333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,KFDA,0.55,7,COH__Fz__F8__alpha;COH__F3__F4__beta_low;COH__F7__F8__beta_low;COH__F3__F4__beta_high;COH__FP2__F4__gamma;COH__F3__Fz__beta_high;COH__FP2__F3__beta_low,0.8291666666666666,0.7583333333333333,"{""clf__C"": 1000.0, ""clf__gamma"": 0.012386912896918909}"
lin,rest1_vs_type1,3,LDA,0.48333333333333334,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,,{}
lin,rest1_vs_type1,3,RBF-SVM,0.5,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,0.7666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 1.0}"
lin,rest1_vs_type1,3,KFDA,0.5166666666666667,4,COH__F7__F8__alpha;COH__F3__F4__gamma;COH__FP2__F7__gamma;COH__FP1__F7__delta,0.8250000000000001,0.775,"{""clf__C"": 50.0, ""clf__gamma"": 0.6139132535407591}"
pftest,rest1_vs_type1,4,LDA,0.5,4,COH__FP1__FP2__gamma;COH__Fz__F4__theta;COH__FP2__Fz__beta_low;COH__FP1__F8__delta,0.75,,{}
