analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,122,COH__F4__F8__alpha,0.6791666666666667,,True
inter,irene,rest1_vs_type1,1,2,109,COH__Fz__F4__theta,0.7083333333333333,0.029166666666666563,True
inter,irene,rest1_vs_type1,1,3,1,COH__FP1__FP2__theta,0.7125,0.004166666666666763,True
inter,irene,rest1_vs_type1,1,4,14,COH__FP1__F3__alpha,0.7208333333333333,0.008333333333333304,True
inter,irene,rest1_vs_type1,1,5,86,COH__F7__F8__alpha,0.75,0.029166666666666674,True
inter,irene,rest1_vs_type1,1,6,107,COH__F3__F8__gamma,0.7541666666666667,0.004166666666666652,True
inter,irene,rest1_vs_type1,1,7,52,COH__FP2__Fz__beta_high,0.7833333333333334,0.029166666666666785,True
inter,irene,rest1_vs_type1,1,8,90,COH__F3__Fz__delta,0.8125,0.029166666666666563,True
inter,irene,rest1_vs_type1,1,9,30,COH__FP1__F8__delta,0.8166666666666668,0.004166666666666763,True
inter,irene,rest1_vs_type1,1,10,18,COH__FP1__Fz__delta,0.8208333333333334,0.004166666666666652,True
inter,irene,rest1_vs_type1,1,11,42,COH__FP2__F3__delta,0.8208333333333334,0.0,False
inter,jh,rest1_vs_type1,2,1,116,COH__Fz__F8__alpha,0.6958333333333333,,True
inter,jh,rest1_vs_type1,2,2,99,COH__F3__F4__beta_low,0.7208333333333333,0.025000000000000022,True
inter,jh,rest1_vs_type1,2,3,87,COH__F7__F8__beta_low,0.7708333333333334,0.050000000000000044,True
inter,jh,rest1_vs_type1,2,4,100,COH__F3__F4__beta_high,0.8041666666666667,0.033333333333333326,True
inter,jh,rest1_vs_type1,2,5,59,COH__FP2__F4__gamma,0.8125,0.008333333333333304,True
inter,jh,rest1_vs_type1,2,6,94,COH__F3__Fz__beta_high,0.825,0.012499999999999956,True
inter,jh,rest1_vs_type1,2,7,45,COH__FP2__F3__beta_low,0.8291666666666666,0.004166666666666652,True
inter,jh,rest1_vs_type1,2,8,0,COH__FP1__FP2__delta,0.8291666666666666,0.0,False
inter,lin,rest1_vs_type1,3,1,86,COH__F7__F8__alpha,0.6458333333333334,,True
inter,lin,rest1_vs_type1,3,2,101,COH__F3__F4__gamma,0.7250000000000001,0.07916666666666672,True
inter,lin,rest1_vs_type1,3,3,41,COH__FP2__F7__gamma,0.8166666666666667,0.09166666666666656,True
inter,lin,rest1_vs_type1,3,4,6,COH__FP1__F7__delta,0.8250000000000001,0.008333333333333415,True
inter,lin,rest1_vs_type1,3,5,104,COH__F3__F8__alpha,0.8250000000000001,0.0,False
inter,pftest,rest1_vs_type1,4,1,5,COH__FP1__FP2__gamma,0.65,,True
inter,pftest,rest1_vs_type1,4,2,109,COH__Fz__F4__theta,0.6958333333333333,0.04583333333333328,True
inter,pftest,rest1_vs_type1,4,3,51,COH__FP2__Fz__beta_low,0.7333333333333334,0.03750000000000009,True
inter,pftest,rest1_vs_type1,4,4,30,COH__FP1__F8__delta,0.75,0.016666666666666607,True
inter,pftest,rest1_vs_type1,4,5,7,COH__FP1__F7__theta,0.7458333333333335,-0.004166666666666541,False
inter,yen,rest1_vs_type1,5,1,122,COH__F4__F8__alpha,0.6708333333333334,,True
inter,yen,rest1_vs_type1,5,2,108,COH__Fz__F4__delta,0.7,0.029166666666666563,True
inter,yen,rest1_vs_type1,5,3,83,COH__F7__F4__gamma,0.7125,0.012500000000000067,True
inter,yen,rest1_vs_type1,5,4,0,COH__FP1__FP2__delta,0.7041666666666667,-0.008333333333333304,False
inter,irene,rest2_vs_type2,1,1,16,COH__FP1__F3__beta_high,0.6416666666666666,,True
inter,irene,rest2_vs_type2,1,2,2,COH__FP1__FP2__alpha,0.65,0.008333333333333415,True
inter,irene,rest2_vs_type2,1,3,8,COH__FP1__F7__alpha,0.6541666666666667,0.004166666666666652,True
inter,irene,rest2_vs_type2,1,4,68,COH__F7__F3__alpha,0.6583333333333333,0.004166666666666652,True
inter,irene,rest2_vs_type2,1,5,75,COH__F7__Fz__beta_low,0.6875000000000001,0.029166666666666785,True
inter,irene,rest2_vs_type2,1,6,43,COH__FP2__F3__theta,0.6916666666666667,0.004166666666666541,True
inter,irene,rest2_vs_type2,1,7,20,COH__FP1__Fz__alpha,0.7041666666666667,0.012500000000000067,True
inter,irene,rest2_vs_type2,1,8,62,COH__FP2__F8__alpha,0.7125,0.008333333333333304,True
inter,irene,rest2_vs_type2,1,9,116,COH__Fz__F8__alpha,0.7125,0.0,False
inter,jh,rest2_vs_type2,2,1,68,COH__F7__F3__alpha,0.6791666666666667,,True
inter,jh,rest2_vs_type2,2,2,100,COH__F3__F4__beta_high,0.6833333333333333,0.004166666666666652,True
inter,jh,rest2_vs_type2,2,3,75,COH__F7__Fz__beta_low,0.6833333333333333,0.0,False
inter,lin,rest2_vs_type2,3,1,57,COH__FP2__F4__beta_low,0.6041666666666667,,True
inter,lin,rest2_vs_type2,3,2,55,COH__FP2__F4__theta,0.6083333333333333,0.004166666666666541,True
inter,lin,rest2_vs_type2,3,3,71,COH__F7__F3__gamma,0.6041666666666667,-0.004166666666666541,False
inter,pftest,rest2_vs_type2,4,1,68,COH__F7__F3__alpha,0.6083333333333334,,True
inter,pftest,rest2_vs_type2,4,2,52,COH__FP2__Fz__beta_high,0.6375,0.029166666666666563,True
inter,pftest,rest2_vs_type2,4,3,123,COH__F4__F8__beta_low,0.6749999999999999,0.03749999999999998,True
inter,pftest,rest2_vs_type2,4,4,26,COH__FP1__F4__alpha,0.6875000000000001,0.012500000000000178,True
inter,pftest,rest2_vs_type2,4,5,116,COH__Fz__F8__alpha,0.6958333333333334,0.008333333333333304,True
