analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,95,COH__F3__Fz__gamma,0.8111111111111111,,True
intra,irene,rest1_vs_type1,1,2,114,COH__Fz__F8__delta,0.8733333333333334,0.06222222222222229,True
intra,irene,rest1_vs_type1,1,3,36,COH__FP2__F7__delta,0.8933333333333333,0.019999999999999907,True
intra,irene,rest1_vs_type1,1,4,6,COH__FP1__F7__delta,0.8733333333333334,-0.019999999999999907,False
intra,irene,rest1_vs_type1,2,1,17,COH__FP1__F3__gamma,0.8377777777777776,,True
intra,irene,rest1_vs_type1,2,2,1,COH__FP1__FP2__theta,0.8977777777777778,0.060000000000000164,True
intra,irene,rest1_vs_type1,2,3,60,COH__FP2__F8__delta,0.9377777777777776,0.039999999999999813,True
intra,irene,rest1_vs_type1,2,4,2,COH__FP1__FP2__alpha,0.9377777777777776,0.0,False
intra,irene,rest1_vs_type1,3,1,17,COH__FP1__F3__gamma,0.7511111111111111,,True
intra,irene,rest1_vs_type1,3,2,47,COH__FP2__F3__gamma,0.8155555555555555,0.06444444444444442,True
intra,irene,rest1_vs_type1,3,3,49,COH__FP2__Fz__theta,0.8800000000000001,0.06444444444444464,True
intra,irene,rest1_vs_type1,3,4,43,COH__FP2__F3__theta,0.9,0.019999999999999907,True
intra,irene,rest1_vs_type1,3,5,12,COH__FP1__F3__delta,0.9,0.0,False
intra,irene,rest1_vs_type1,4,1,17,COH__FP1__F3__gamma,0.7888888888888889,,True
intra,irene,rest1_vs_type1,4,2,47,COH__FP2__F3__gamma,0.8533333333333333,0.06444444444444442,True
intra,irene,rest1_vs_type1,4,3,11,COH__FP1__F7__gamma,0.8755555555555556,0.022222222222222365,True
intra,irene,rest1_vs_type1,4,4,53,COH__FP2__Fz__gamma,0.8955555555555555,0.019999999999999907,True
intra,irene,rest1_vs_type1,4,5,3,COH__FP1__FP2__beta_low,0.9155555555555555,0.019999999999999907,True
intra,irene,rest1_vs_type1,4,6,40,COH__FP2__F7__beta_high,0.9155555555555555,0.0,False
intra,irene,rest1_vs_type1,5,1,95,COH__F3__Fz__gamma,0.7911111111111111,,True
intra,irene,rest1_vs_type1,5,2,105,COH__F3__F8__beta_low,0.8755555555555556,0.08444444444444454,True
intra,irene,rest1_vs_type1,5,3,94,COH__F3__Fz__beta_high,0.8977777777777778,0.022222222222222143,True
intra,irene,rest1_vs_type1,5,4,5,COH__FP1__FP2__gamma,0.9177777777777777,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,5,12,COH__FP1__F3__delta,0.9400000000000001,0.022222222222222365,True
intra,irene,rest1_vs_type1,5,6,84,COH__F7__F8__delta,0.96,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,7,2,COH__FP1__FP2__alpha,0.96,0.0,False
intra,jh,rest1_vs_type1,1,1,74,COH__F7__Fz__alpha,0.7511111111111111,,True
intra,jh,rest1_vs_type1,1,2,83,COH__F7__F4__gamma,0.8155555555555555,0.06444444444444442,True
intra,jh,rest1_vs_type1,1,3,45,COH__FP2__F3__beta_low,0.8755555555555556,0.060000000000000164,True
intra,jh,rest1_vs_type1,1,4,9,COH__FP1__F7__beta_low,0.8977777777777778,0.022222222222222143,True
intra,jh,rest1_vs_type1,1,5,12,COH__FP1__F3__delta,0.8977777777777778,0.0,False
intra,jh,rest1_vs_type1,2,1,9,COH__FP1__F7__beta_low,0.7533333333333333,,True
intra,jh,rest1_vs_type1,2,2,91,COH__F3__Fz__theta,0.7977777777777778,0.04444444444444451,True
