subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.6833333333333333,0.06972166887783963,5
irene,rest1_vs_type1,LDA,0.7166666666666667,0.1728036779443976,5
irene,rest1_vs_type1,RBF-SVM,0.7,0.07453559924999299,5
irene,rest2_vs_type2,KFDA,0.7666666666666667,0.10865337342004415,5
irene,rest2_vs_type2,LDA,0.6333333333333334,0.13944333775567927,5
irene,rest2_vs_type2,RBF-SVM,0.7833333333333333,0.09501461875826152,5
jh,rest1_vs_type1,KFDA,0.6166666666666667,0.13944333775567927,5
jh,rest1_vs_type1,LDA,0.5666666666666667,0.223606797749979,5
jh,rest1_vs_type1,RBF-SVM,0.5833333333333334,0.17677669529663687,5
jh,rest2_vs_type2,KFDA,0.6166666666666666,0.16244657241348276,5
jh,rest2_vs_type2,LDA,0.65,0.18066236157232335,5
jh,rest2_vs_type2,RBF-SVM,0.6166666666666667,0.1728036779443977,5
lin,rest1_vs_type1,KFDA,0.9333333333333333,0.10865337342004415,5
lin,rest1_vs_type1,LDA,0.9166666666666666,0.11785113019775792,5
lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.10865337342004415,5
lin,rest2_vs_type2,KFDA,0.85,0.10865337342004412,5
lin,rest2_vs_type2,LDA,0.85,0.037267799624996475,5
lin,rest2_vs_type2,RBF-SVM,0.85,0.0697216688778396,5
pftest,rest1_vs_type1,KFDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,LDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.045643546458763874,5
pftest,rest2_vs_type2,KFDA,0.7833333333333333,0.12638125740085918,5
pftest,rest2_vs_type2,LDA,0.8,0.04564354645876387,5
pftest,rest2_vs_type2,RBF-SVM,0.7833333333333334,0.04564354645876388,5
yen,rest1_vs_type1,KFDA,0.6666666666666667,0.10206207261596575,5
yen,rest1_vs_type1,LDA,0.7,0.19184774055368894,5
yen,rest1_vs_type1,RBF-SVM,0.7,0.13944333775567924,5
yen,rest2_vs_type2,KFDA,0.5666666666666667,0.1989556064385554,5
yen,rest2_vs_type2,LDA,0.55,0.15138251770487451,5
yen,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.16029486718059457,5
