comparison,feature,selection_count
rest1_vs_type1,BP__F8__theta,2
rest1_vs_type1,BP__FP1__beta_high,2
rest1_vs_type1,COH__F4__F8__alpha,2
rest1_vs_type1,COH__FP1__F7__delta,2
rest1_vs_type1,COH__Fz__F8__alpha,2
rest1_vs_type1,BP__FP1__gamma,1
rest1_vs_type1,BP__FP2__beta_high,1
rest1_vs_type1,BP__Fz__gamma,1
rest1_vs_type1,COH__F3__F4__gamma,1
rest1_vs_type1,COH__F4__F8__theta,1
rest1_vs_type1,COH__F7__F4__delta,1
rest1_vs_type1,COH__F7__F8__alpha,1
rest1_vs_type1,COH__FP1__F3__alpha,1
rest1_vs_type1,COH__FP1__F7__alpha,1
rest1_vs_type1,COH__FP1__F7__gamma,1
rest1_vs_type1,COH__FP1__FP2__alpha,1
rest1_vs_type1,COH__FP1__FP2__gamma,1
rest1_vs_type1,COH__FP1__FP2__theta,1
rest1_vs_type1,COH__FP2__F3__alpha,1
rest1_vs_type1,COH__FP2__F4__alpha,1
rest1_vs_type1,COH__FP2__F7__gamma,1
rest1_vs_type1,COH__FP2__F8__theta,1
rest1_vs_type1,COH__Fz__F4__delta,1
rest1_vs_type1,COH__Fz__F4__theta,1
rest2_vs_type2,COH__F7__F3__alpha,4
rest2_vs_type2,COH__FP2__F8__alpha,2
rest2_vs_type2,BP__F4__gamma,1
rest2_vs_type2,BP__F7__beta_high,1
rest2_vs_type2,BP__F7__theta,1
rest2_vs_type2,COH__F3__F8__alpha,1
rest2_vs_type2,COH__F3__F8__delta,1
rest2_vs_type2,COH__F7__F3__beta_low,1
rest2_vs_type2,COH__F7__F4__alpha,1
rest2_vs_type2,COH__F7__F8__beta_high,1
rest2_vs_type2,COH__F7__Fz__beta_low,1
rest2_vs_type2,COH__FP1__F3__beta_high,1
rest2_vs_type2,COH__FP1__F7__alpha,1
rest2_vs_type2,COH__FP1__F7__delta,1
rest2_vs_type2,COH__FP1__FP2__alpha,1
rest2_vs_type2,COH__FP1__Fz__alpha,1
rest2_vs_type2,COH__FP2__F3__theta,1
rest2_vs_type2,COH__FP2__F4__beta_low,1
