analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,164,COH__F4__F8__alpha,0.6791666666666667,,True
inter,irene,rest1_vs_type1,1,2,151,COH__Fz__F4__theta,0.7083333333333333,0.029166666666666563,True
inter,irene,rest1_vs_type1,1,3,10,BP__FP2__beta_high,0.7208333333333333,0.012500000000000067,True
inter,irene,rest1_vs_type1,1,4,163,COH__F4__F8__theta,0.7375,0.01666666666666672,True
inter,irene,rest1_vs_type1,1,5,131,COH__F7__F8__gamma,0.7291666666666666,-0.008333333333333415,False
inter,jh,rest1_vs_type1,2,1,158,COH__Fz__F8__alpha,0.6958333333333333,,True
inter,jh,rest1_vs_type1,2,2,37,BP__F8__theta,0.7458333333333333,0.050000000000000044,True
inter,jh,rest1_vs_type1,2,3,56,COH__FP1__F3__alpha,0.7749999999999999,0.029166666666666563,True
inter,jh,rest1_vs_type1,2,4,86,COH__FP2__F3__alpha,0.7916666666666667,0.01666666666666683,True
inter,jh,rest1_vs_type1,2,5,50,COH__FP1__F7__alpha,0.7958333333333334,0.004166666666666652,True
inter,jh,rest1_vs_type1,2,6,43,COH__FP1__FP2__theta,0.8,0.004166666666666652,True
inter,jh,rest1_vs_type1,2,7,98,COH__FP2__F4__alpha,0.8041666666666667,0.004166666666666652,True
inter,jh,rest1_vs_type1,2,8,104,COH__FP2__F8__alpha,0.8,-0.004166666666666652,False
inter,lin,rest1_vs_type1,3,1,128,COH__F7__F8__alpha,0.6458333333333334,,True
inter,lin,rest1_vs_type1,3,2,143,COH__F3__F4__gamma,0.7250000000000001,0.07916666666666672,True
inter,lin,rest1_vs_type1,3,3,83,COH__FP2__F7__gamma,0.8166666666666667,0.09166666666666656,True
inter,lin,rest1_vs_type1,3,4,48,COH__FP1__F7__delta,0.8250000000000001,0.008333333333333415,True
inter,lin,rest1_vs_type1,3,5,3,BP__FP1__beta_low,0.8250000000000001,0.0,False
inter,pftest,rest1_vs_type1,4,1,47,COH__FP1__FP2__gamma,0.65,,True
inter,pftest,rest1_vs_type1,4,2,37,BP__F8__theta,0.7416666666666667,0.09166666666666667,True
inter,pftest,rest1_vs_type1,4,3,53,COH__FP1__F7__gamma,0.75,0.008333333333333304,True
inter,pftest,rest1_vs_type1,4,4,158,COH__Fz__F8__alpha,0.775,0.025000000000000022,True
inter,pftest,rest1_vs_type1,4,5,103,COH__FP2__F8__theta,0.7833333333333334,0.008333333333333415,True
inter,pftest,rest1_vs_type1,4,6,4,BP__FP1__beta_high,0.7958333333333332,0.012499999999999734,True
inter,pftest,rest1_vs_type1,4,7,44,COH__FP1__FP2__alpha,0.8,0.004166666666666874,True
inter,pftest,rest1_vs_type1,4,8,29,BP__Fz__gamma,0.8083333333333333,0.008333333333333304,True
inter,pftest,rest1_vs_type1,4,9,5,BP__FP1__gamma,0.8125,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,10,48,COH__FP1__F7__delta,0.8083333333333333,-0.004166666666666652,False
inter,yen,rest1_vs_type1,5,1,164,COH__F4__F8__alpha,0.6708333333333334,,True
inter,yen,rest1_vs_type1,5,2,150,COH__Fz__F4__delta,0.7,0.029166666666666563,True
inter,yen,rest1_vs_type1,5,3,4,BP__FP1__beta_high,0.7125,0.012500000000000067,True
inter,yen,rest1_vs_type1,5,4,48,COH__FP1__F7__delta,0.7166666666666667,0.004166666666666652,True
inter,yen,rest1_vs_type1,5,5,120,COH__F7__F4__delta,0.7208333333333333,0.004166666666666652,True
inter,yen,rest1_vs_type1,5,6,102,COH__FP2__F8__delta,0.7208333333333333,0.0,False
inter,irene,rest2_vs_type2,1,1,58,COH__FP1__F3__beta_high,0.6416666666666666,,True
inter,irene,rest2_vs_type2,1,2,44,COH__FP1__FP2__alpha,0.65,0.008333333333333415,True
inter,irene,rest2_vs_type2,1,3,50,COH__FP1__F7__alpha,0.6541666666666667,0.004166666666666652,True
inter,irene,rest2_vs_type2,1,4,110,COH__F7__F3__alpha,0.6583333333333333,0.004166666666666652,True
inter,irene,rest2_vs_type2,1,5,117,COH__F7__Fz__beta_low,0.6875000000000001,0.029166666666666785,True
inter,irene,rest2_vs_type2,1,6,85,COH__FP2__F3__theta,0.6916666666666667,0.004166666666666541,True
inter,irene,rest2_vs_type2,1,7,62,COH__FP1__Fz__alpha,0.7041666666666667,0.012500000000000067,True
inter,irene,rest2_vs_type2,1,8,104,COH__FP2__F8__alpha,0.7125,0.008333333333333304,True
inter,irene,rest2_vs_type2,1,9,158,COH__Fz__F8__alpha,0.7125,0.0,False
inter,jh,rest2_vs_type2,2,1,110,COH__F7__F3__alpha,0.6791666666666667,,True
inter,jh,rest2_vs_type2,2,2,35,BP__F4__gamma,0.6875,0.008333333333333304,True
inter,jh,rest2_vs_type2,2,3,51,COH__FP1__F7__beta_low,0.6791666666666666,-0.008333333333333415,False
inter,lin,rest2_vs_type2,3,1,99,COH__FP2__F4__beta_low,0.6041666666666667,,True
inter,lin,rest2_vs_type2,3,2,13,BP__F7__theta,0.6125,0.008333333333333304,True
inter,lin,rest2_vs_type2,3,3,113,COH__F7__F3__gamma,0.6083333333333334,-0.004166666666666652,False
inter,pftest,rest2_vs_type2,4,1,110,COH__F7__F3__alpha,0.6083333333333334,,True
inter,pftest,rest2_vs_type2,4,2,16,BP__F7__beta_high,0.6541666666666667,0.04583333333333328,True
inter,pftest,rest2_vs_type2,4,3,111,COH__F7__F3__beta_low,0.6708333333333334,0.01666666666666672,True
inter,pftest,rest2_vs_type2,4,4,104,COH__FP2__F8__alpha,0.6875,0.016666666666666607,True
inter,pftest,rest2_vs_type2,4,5,146,COH__F3__F8__alpha,0.6916666666666667,0.004166666666666652,True
inter,pftest,rest2_vs_type2,4,6,50,COH__FP1__F7__alpha,0.6875,-0.004166666666666652,False
inter,yen,rest2_vs_type2,5,1,110,COH__F7__F3__alpha,0.6791666666666667,,True
inter,yen,rest2_vs_type2,5,2,122,COH__F7__F4__alpha,0.6875,0.008333333333333304,True
inter,yen,rest2_vs_type2,5,3,144,COH__F3__F8__delta,0.6916666666666667,0.004166666666666652,True
inter,yen,rest2_vs_type2,5,4,48,COH__FP1__F7__delta,0.7041666666666666,0.012499999999999956,True
inter,yen,rest2_vs_type2,5,5,130,COH__F7__F8__beta_high,0.7083333333333334,0.004166666666666763,True
inter,yen,rest2_vs_type2,5,6,62,COH__FP1__Fz__alpha,0.7041666666666667,-0.004166666666666652,False
