subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.75,4,COH__F3__Fz__gamma;BP__FP2__delta;COH__F7__F8__beta_low;BP__F7__delta,0.9577777777777777,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.75,4,COH__F3__Fz__gamma;BP__FP2__delta;COH__F7__F8__beta_low;BP__F7__delta,0.9577777777777777,0.9577777777777777,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,1,KFDA,0.75,4,COH__F3__Fz__gamma;BP__FP2__delta;COH__F7__F8__beta_low;BP__F7__delta,0.9577777777777777,0.9377777777777776,"{""clf__C"": 1000.0, ""clf__gamma"": 0.03286616756321879}"
irene,rest1_vs_type1,2,LDA,0.4166666666666667,3,COH__FP1__F3__gamma;BP__F4__beta_high;COH__FP1__FP2__theta,0.96,,{}
irene,rest1_vs_type1,2,RBF-SVM,0.5833333333333334,3,COH__FP1__F3__gamma;BP__F4__beta_high;COH__FP1__FP2__theta,0.96,0.9199999999999999,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
irene,rest1_vs_type1,2,KFDA,0.5833333333333334,3,COH__FP1__F3__gamma;BP__F4__beta_high;COH__FP1__FP2__theta,0.96,0.9199999999999999,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,3,LDA,0.9166666666666666,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;COH__FP2__Fz__theta;COH__FP2__F3__theta,0.9,,{}
irene,rest1_vs_type1,3,RBF-SVM,0.75,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;COH__FP2__Fz__theta;COH__FP2__F3__theta,0.9,0.7911111111111111,"{""clf__C"": 1000.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,3,KFDA,0.6666666666666666,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;COH__FP2__Fz__theta;COH__FP2__F3__theta,0.9,0.7688888888888888,"{""clf__C"": 1000.0, ""clf__gamma"": 0.23137744865585788}"
irene,rest1_vs_type1,4,LDA,0.8333333333333334,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;BP__F7__beta_low;COH__FP1__F8__theta,0.9377777777777776,,{}
irene,rest1_vs_type1,4,RBF-SVM,0.8333333333333334,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;BP__F7__beta_low;COH__FP1__F8__theta,0.9377777777777776,0.8977777777777778,"{""clf__C"": 100.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,4,KFDA,0.8333333333333334,4,COH__FP1__F3__gamma;COH__FP2__F3__gamma;BP__F7__beta_low;COH__FP1__F8__theta,0.9377777777777776,0.8955555555555555,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
irene,rest1_vs_type1,5,LDA,0.75,5,COH__F3__Fz__gamma;COH__F3__F8__beta_low;BP__F7__gamma;BP__F4__gamma;BP__F7__delta,0.9800000000000001,,{}
irene,rest1_vs_type1,5,RBF-SVM,0.9166666666666666,5,COH__F3__Fz__gamma;COH__F3__F8__beta_low;BP__F7__gamma;BP__F4__gamma;BP__F7__delta,0.9800000000000001,0.9800000000000001,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
irene,rest1_vs_type1,5,KFDA,0.75,5,COH__F3__Fz__gamma;COH__F3__F8__beta_low;BP__F7__gamma;BP__F4__gamma;BP__F7__delta,0.9800000000000001,0.9800000000000001,"{""clf__C"": 100.0, ""clf__gamma"": 0.053535523746494146}"
jh,rest1_vs_type1,1,LDA,0.75,4,BP__FP1__alpha;COH__F7__Fz__gamma;COH__FP2__F4__theta;COH__FP2__F7__theta,0.8777777777777779,,{}
jh,rest1_vs_type1,1,RBF-SVM,0.75,4,BP__FP1__alpha;COH__F7__Fz__gamma;COH__FP2__F4__theta;COH__FP2__F7__theta,0.8777777777777779,0.8777777777777779,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest1_vs_type1,1,KFDA,0.8333333333333334,4,BP__FP1__alpha;COH__F7__Fz__gamma;COH__FP2__F4__theta;COH__FP2__F7__theta,0.8777777777777779,0.8355555555555554,"{""clf__C"": 50.0, ""clf__gamma"": 0.012386912896918909}"
jh,rest1_vs_type1,2,LDA,0.3333333333333333,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.4166666666666667,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,0.8155555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.23137744865585788}"
jh,rest1_vs_type1,2,KFDA,0.5,3,COH__FP1__F7__beta_low;COH__F3__Fz__theta;COH__FP1__F3__alpha,0.8377777777777776,0.7933333333333332,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
jh,rest1_vs_type1,3,LDA,0.75,2,BP__F7__alpha;COH__FP1__FP2__gamma,0.8555555555555555,,{}
jh,rest1_vs_type1,3,RBF-SVM,0.6666666666666666,2,BP__F7__alpha;COH__FP1__FP2__gamma,0.8555555555555555,0.8333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
jh,rest1_vs_type1,3,KFDA,0.75,2,BP__F7__alpha;COH__FP1__FP2__gamma,0.8555555555555555,0.8333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.08720372697238048}"
jh,rest1_vs_type1,4,LDA,0.6666666666666666,3,COH__F7__F8__gamma;BP__F7__alpha;COH__FP1__Fz__beta_high,0.8977777777777778,,{}
jh,rest1_vs_type1,4,RBF-SVM,0.75,3,COH__F7__F8__gamma;BP__F7__alpha;COH__FP1__Fz__beta_high,0.8977777777777778,0.9400000000000001,"{""clf__C"": 1000.0, ""clf__gamma"": 0.053535523746494146}"
jh,rest1_vs_type1,4,KFDA,0.75,3,COH__F7__F8__gamma;BP__F7__alpha;COH__FP1__Fz__beta_high,0.8977777777777778,0.8533333333333333,"{""clf__C"": 1000.0, ""clf__gamma"": 0.6139132535407591}"
jh,rest1_vs_type1,5,LDA,0.8333333333333334,3,BP__F7__alpha;COH__FP1__Fz__beta_high;COH__FP2__F3__alpha,0.8777777777777779,,{}
jh,rest1_vs_type1,5,RBF-SVM,0.5,3,BP__F7__alpha;COH__FP1__Fz__beta_high;COH__FP2__F3__alpha,0.8777777777777779,0.857777777777778,"{""clf__C"": 1000.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,5,KFDA,0.75,3,BP__F7__alpha;COH__FP1__Fz__beta_high;COH__FP2__F3__alpha,0.8777777777777779,0.8777777777777779,"{""clf__C"": 100.0, ""clf__gamma"": 0.053535523746494146}"
lin,rest1_vs_type1,1,LDA,0.8333333333333334,4,COH__FP2__Fz__gamma;COH__F7__F3__gamma;BP__F7__gamma;BP__FP1__alpha,1.0,,{}
