experiment,reference,scope,comparison,classifier,delta_mean,delta_std,n_units
e2a_plv_only,e2_full_baseline_plv,inter,rest1_vs_type1,KFDA,0.039999999999999994,0.13049052754042256,5
e2a_plv_only,e2_full_baseline_plv,inter,rest1_vs_type1,LDA,-0.020000000000000018,0.10096754153907302,5
e2a_plv_only,e2_full_baseline_plv,inter,rest1_vs_type1,RBF-SVM,0.030000000000000006,0.11205157542647741,5
e2a_plv_only,e2_full_baseline_plv,inter,rest2_vs_type2,KFDA,0.03666666666666666,0.08771798244627177,5
e2a_plv_only,e2_full_baseline_plv,inter,rest2_vs_type2,LDA,0.04333333333333335,0.12725739445880713,5
e2a_plv_only,e2_full_baseline_plv,inter,rest2_vs_type2,RBF-SVM,0.04,0.08547254269972056,5
e2a_plv_only,e2_full_baseline_plv,intra,rest1_vs_type1,KFDA,-0.030000000000000047,0.03613247231446467,5
e2a_plv_only,e2_full_baseline_plv,intra,rest1_vs_type1,LDA,-0.01333333333333333,0.032058973436118916,5
e2a_plv_only,e2_full_baseline_plv,intra,rest1_vs_type1,RBF-SVM,-0.02666666666666666,0.048016200969626444,5
e2a_plv_only,e2_full_baseline_plv,intra,rest2_vs_type2,KFDA,0.009999999999999986,0.114624992426996,5
e2a_plv_only,e2_full_baseline_plv,intra,rest2_vs_type2,LDA,0.01333333333333333,0.10368220676663861,5
e2a_plv_only,e2_full_baseline_plv,intra,rest2_vs_type2,RBF-SVM,0.010000000000000009,0.13207741837439305,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest1_vs_type1,KFDA,0.019999999999999997,0.13457752825457567,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest1_vs_type1,LDA,-0.046666666666666676,0.07207249436813214,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest1_vs_type1,RBF-SVM,-0.010000000000000009,0.09249624617007739,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest2_vs_type2,KFDA,0.016666666666666663,0.09930312739844153,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest2_vs_type2,LDA,0.016666666666666684,0.1348867838019887,5
e2b_bp_plv,e2_full_baseline_plv,inter,rest2_vs_type2,RBF-SVM,0.01333333333333333,0.10632758605157722,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest1_vs_type1,KFDA,-0.010000000000000031,0.04346134936801767,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest1_vs_type1,LDA,0.020000000000000018,0.03205897343611891,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest1_vs_type1,RBF-SVM,-0.013333333333333308,0.05700877125495696,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest2_vs_type2,KFDA,0.019999999999999997,0.10697871023920806,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest2_vs_type2,LDA,0.006666666666666665,0.12834415538785637,5
e2b_bp_plv,e2_full_baseline_plv,intra,rest2_vs_type2,RBF-SVM,0.006666666666666687,0.12167808165629321,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest1_vs_type1,KFDA,-0.0033333333333333435,0.029814239699997212,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest1_vs_type1,LDA,-0.0033333333333333435,0.04149966532662908,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest1_vs_type1,RBF-SVM,-0.01333333333333333,0.029814239699997188,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest2_vs_type2,KFDA,-0.046666666666666676,0.1043498389499902,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest2_vs_type2,LDA,0.003333333333333366,0.03613247231446466,5
e2c_coh_plv,e2_full_baseline_plv,inter,rest2_vs_type2,RBF-SVM,-0.03666666666666666,0.14500957822770802,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest1_vs_type1,KFDA,-0.013333333333333374,0.039791121287711124,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest1_vs_type1,LDA,0.006666666666666687,0.04801620096962649,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest1_vs_type1,RBF-SVM,-0.023333333333333296,0.022360679774997862,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest2_vs_type2,KFDA,0.026666666666666616,0.10178954323068312,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest2_vs_type2,LDA,0.019999999999999928,0.08612007121842544,5
e2c_coh_plv,e2_full_baseline_plv,intra,rest2_vs_type2,RBF-SVM,0.01333333333333333,0.08928730157319253,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest1_vs_type1,KFDA,0.006666666666666687,0.06191391873668902,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest1_vs_type1,LDA,0.016666666666666653,0.07453559924999296,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest1_vs_type1,RBF-SVM,0.020000000000000018,0.08771798244627181,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest2_vs_type2,KFDA,0.023333333333333327,0.08866290718846925,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest2_vs_type2,LDA,0.030000000000000016,0.13611677992730276,5
e2d_asym_plv,e2_full_baseline_plv,inter,rest2_vs_type2,RBF-SVM,0.023333333333333317,0.08299933065325822,5
e2d_asym_plv,e2_full_baseline_plv,intra,rest1_vs_type1,KFDA,-2.2204460492503132e-17,0.039086797998528613,5
e2d_asym_plv,e2_full_baseline_plv,intra,rest1_vs_type1,LDA,0.02666666666666666,0.05082650227325638,5
