experiment,reference,scope,comparison,classifier,delta_mean,delta_std,n_units
e2a_plv_only,poster_baseline,inter,rest1_vs_type1,KFDA,0.17333333333333328,0.14317821063276354,5
e2a_plv_only,poster_baseline,inter,rest1_vs_type1,LDA,0.14333333333333334,0.10448285345771653,5
e2a_plv_only,poster_baseline,inter,rest1_vs_type1,RBF-SVM,0.15666666666666668,0.11995369476964386,5
e2a_plv_only,poster_baseline,inter,rest2_vs_type2,KFDA,0.04000000000000002,0.08708233651742092,5
e2a_plv_only,poster_baseline,inter,rest2_vs_type2,LDA,0.04333333333333335,0.12560962454277846,5
e2a_plv_only,poster_baseline,inter,rest2_vs_type2,RBF-SVM,0.04,0.0693221144769514,5
e2a_plv_only,poster_baseline,intra,rest1_vs_type1,KFDA,-0.00666666666666671,0.078704793020784,5
e2a_plv_only,poster_baseline,intra,rest1_vs_type1,LDA,0.006666666666666687,0.07870479302078401,5
e2a_plv_only,poster_baseline,intra,rest1_vs_type1,RBF-SVM,-0.006666666666666665,0.11820415484331435,5
e2a_plv_only,poster_baseline,intra,rest2_vs_type2,KFDA,-0.023333333333333338,0.13049052754042254,5
e2a_plv_only,poster_baseline,intra,rest2_vs_type2,LDA,-0.009999999999999964,0.09324400487132907,5
e2a_plv_only,poster_baseline,intra,rest2_vs_type2,RBF-SVM,-0.010000000000000031,0.13519533193782163,5
e2b_bp_plv,poster_baseline,inter,rest1_vs_type1,KFDA,0.1533333333333333,0.13914420976494535,5
e2b_bp_plv,poster_baseline,inter,rest1_vs_type1,LDA,0.11666666666666667,0.0950146187582615,5
e2b_bp_plv,poster_baseline,inter,rest1_vs_type1,RBF-SVM,0.11666666666666665,0.11785113019775789,5
e2b_bp_plv,poster_baseline,inter,rest2_vs_type2,KFDA,0.020000000000000028,0.09958246164193109,5
e2b_bp_plv,poster_baseline,inter,rest2_vs_type2,LDA,0.016666666666666684,0.13333333333333333,5
e2b_bp_plv,poster_baseline,inter,rest2_vs_type2,RBF-SVM,0.01333333333333333,0.09383792173506166,5
e2b_bp_plv,poster_baseline,intra,rest1_vs_type1,KFDA,0.013333333333333308,0.09383792173506168,5
e2b_bp_plv,poster_baseline,intra,rest1_vs_type1,LDA,0.040000000000000036,0.08866290718846925,5
e2b_bp_plv,poster_baseline,intra,rest1_vs_type1,RBF-SVM,0.006666666666666687,0.11937336386313331,5
e2b_bp_plv,poster_baseline,intra,rest2_vs_type2,KFDA,-0.01333333333333333,0.15018507101425077,5
e2b_bp_plv,poster_baseline,intra,rest2_vs_type2,LDA,-0.01666666666666663,0.12801909579781007,5
e2b_bp_plv,poster_baseline,intra,rest2_vs_type2,RBF-SVM,-0.013333333333333353,0.14013882006385267,5
e2c_coh_plv,poster_baseline,inter,rest1_vs_type1,KFDA,0.12999999999999995,0.07397447007057385,5
e2c_coh_plv,poster_baseline,inter,rest1_vs_type1,LDA,0.16,0.07601169500660923,5
e2c_coh_plv,poster_baseline,inter,rest1_vs_type1,RBF-SVM,0.11333333333333333,0.07940752833047726,5
e2c_coh_plv,poster_baseline,inter,rest2_vs_type2,KFDA,-0.04333333333333331,0.09249624617007735,5
e2c_coh_plv,poster_baseline,inter,rest2_vs_type2,LDA,0.003333333333333366,0.04772607021092121,5
e2c_coh_plv,poster_baseline,inter,rest2_vs_type2,RBF-SVM,-0.03666666666666666,0.15247950681976907,5
e2c_coh_plv,poster_baseline,intra,rest1_vs_type1,KFDA,0.009999999999999964,0.05477225575051662,5
e2c_coh_plv,poster_baseline,intra,rest1_vs_type1,LDA,0.026666666666666707,0.07509253550712539,5
e2c_coh_plv,poster_baseline,intra,rest1_vs_type1,RBF-SVM,-0.0033333333333332993,0.10567244989431579,5
e2c_coh_plv,poster_baseline,intra,rest2_vs_type2,KFDA,-0.00666666666666671,0.09021579068482906,5
