analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,116,PLV__F7__F3__gamma,0.831111111111111,,True
intra,irene,rest1_vs_type1,1,2,57,PLV__F3__Fz__alpha,0.8533333333333333,0.022222222222222254,True
intra,irene,rest1_vs_type1,1,3,15,PLV__F3__Fz__delta,0.8733333333333334,0.02000000000000013,True
intra,irene,rest1_vs_type1,1,4,6,PLV__FP2__F7__delta,0.8955555555555555,0.022222222222222143,True
intra,irene,rest1_vs_type1,1,5,36,PLV__F3__Fz__theta,0.8955555555555555,0.0,False
intra,irene,rest1_vs_type1,2,1,116,PLV__F7__F3__gamma,0.7888888888888889,,True
intra,irene,rest1_vs_type1,2,2,6,PLV__FP2__F7__delta,0.8555555555555555,0.06666666666666665,True
intra,irene,rest1_vs_type1,2,3,29,PLV__FP2__Fz__theta,0.8555555555555555,0.0,False
intra,irene,rest1_vs_type1,3,1,116,PLV__F7__F3__gamma,0.8155555555555555,,True
intra,irene,rest1_vs_type1,3,2,34,PLV__F7__F4__theta,0.8555555555555555,0.040000000000000036,True
intra,irene,rest1_vs_type1,3,3,124,PLV__Fz__F8__gamma,0.8755555555555556,0.02000000000000013,True
intra,irene,rest1_vs_type1,3,4,16,PLV__F3__F4__delta,0.8755555555555556,0.0,False
intra,irene,rest1_vs_type1,4,1,116,PLV__F7__F3__gamma,0.8088888888888889,,True
intra,irene,rest1_vs_type1,4,2,112,PLV__FP2__F3__gamma,0.8688888888888888,0.05999999999999994,True
intra,irene,rest1_vs_type1,4,3,15,PLV__F3__Fz__delta,0.8688888888888888,0.0,False
intra,irene,rest1_vs_type1,5,1,116,PLV__F7__F3__gamma,0.7933333333333332,,True
intra,irene,rest1_vs_type1,5,2,112,PLV__FP2__F3__gamma,0.8755555555555554,0.0822222222222222,True
intra,irene,rest1_vs_type1,5,3,60,PLV__Fz__F4__alpha,0.8755555555555554,0.0,False
intra,jh,rest1_vs_type1,1,1,119,PLV__F7__F8__gamma,0.8177777777777777,,True
intra,jh,rest1_vs_type1,1,2,42,PLV__FP1__FP2__alpha,0.8355555555555556,0.017777777777777892,True
intra,jh,rest1_vs_type1,1,3,26,PLV__FP1__F8__theta,0.857777777777778,0.022222222222222365,True
intra,jh,rest1_vs_type1,1,4,89,PLV__FP1__F8__beta_high,0.8777777777777779,0.019999999999999907,True
intra,jh,rest1_vs_type1,1,5,0,PLV__FP1__FP2__delta,0.8777777777777779,0.0,False
intra,jh,rest1_vs_type1,2,1,117,PLV__F7__Fz__gamma,0.8533333333333333,,True
intra,jh,rest1_vs_type1,2,2,118,PLV__F7__F4__gamma,0.8977777777777778,0.04444444444444451,True
intra,jh,rest1_vs_type1,2,3,54,PLV__F7__Fz__alpha,0.9577777777777777,0.05999999999999994,True
intra,jh,rest1_vs_type1,2,4,21,PLV__FP1__FP2__theta,0.9577777777777777,0.0,False
intra,jh,rest1_vs_type1,3,1,118,PLV__F7__F4__gamma,0.8111111111111111,,True
intra,jh,rest1_vs_type1,3,2,42,PLV__FP1__FP2__alpha,0.8955555555555555,0.08444444444444443,True
intra,jh,rest1_vs_type1,3,3,4,PLV__FP1__F4__delta,0.9177777777777777,0.022222222222222143,True
intra,jh,rest1_vs_type1,3,4,2,PLV__FP1__F3__delta,0.9177777777777777,0.0,False
