subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.75,0.05892556509887899,5
irene,rest1_vs_type1,LDA,0.75,0.08333333333333338,5
irene,rest1_vs_type1,RBF-SVM,0.75,0.05892556509887899,5
irene,rest2_vs_type2,KFDA,0.6333333333333334,0.11180339887498948,5
irene,rest2_vs_type2,LDA,0.6166666666666667,0.09501461875826148,5
irene,rest2_vs_type2,RBF-SVM,0.6333333333333334,0.11180339887498948,5
jh,rest1_vs_type1,KFDA,0.8166666666666667,0.06972166887783962,5
jh,rest1_vs_type1,LDA,0.8,0.09501461875826152,5
jh,rest1_vs_type1,RBF-SVM,0.8,0.07453559924999296,5
jh,rest2_vs_type2,KFDA,0.5,0.14433756729740646,5
jh,rest2_vs_type2,LDA,0.55,0.1728036779443977,5
jh,rest2_vs_type2,RBF-SVM,0.5,0.14433756729740646,5
lin,rest1_vs_type1,KFDA,0.85,0.06972166887783963,5
lin,rest1_vs_type1,LDA,0.85,0.10865337342004414,5
lin,rest1_vs_type1,RBF-SVM,0.8666666666666666,0.09501461875826149,5
lin,rest2_vs_type2,KFDA,0.9166666666666666,0.10206207261596574,5
lin,rest2_vs_type2,LDA,0.9333333333333333,0.06972166887783962,5
lin,rest2_vs_type2,RBF-SVM,0.9333333333333333,0.06972166887783962,5
pftest,rest1_vs_type1,KFDA,0.95,0.07453559924999296,5
pftest,rest1_vs_type1,LDA,0.95,0.07453559924999296,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.07453559924999296,5
pftest,rest2_vs_type2,KFDA,0.7333333333333333,0.13693063937629155,5
pftest,rest2_vs_type2,LDA,0.75,0.11785113019775796,5
pftest,rest2_vs_type2,RBF-SVM,0.7666666666666666,0.10865337342004416,5
yen,rest1_vs_type1,KFDA,0.7166666666666666,0.07453559924999302,5
yen,rest1_vs_type1,LDA,0.7,0.11180339887498947,5
yen,rest1_vs_type1,RBF-SVM,0.6833333333333333,0.06972166887783962,5
yen,rest2_vs_type2,KFDA,0.6833333333333333,0.09128709291752768,5
yen,rest2_vs_type2,LDA,0.65,0.10865337342004415,5
yen,rest2_vs_type2,RBF-SVM,0.6833333333333333,0.10865337342004415,5
