analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,103,PLV__Fz__F8__alpha,0.7124999999999999,,True
inter,irene,rest1_vs_type1,1,2,99,PLV__F3__Fz__alpha,0.7458333333333333,0.03333333333333344,True
inter,irene,rest1_vs_type1,1,3,90,PLV__FP2__F7__alpha,0.7708333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,4,100,PLV__F3__F4__alpha,0.7958333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,5,21,BP__F3__beta_low,0.8083333333333333,0.012499999999999956,True
inter,irene,rest1_vs_type1,1,6,10,BP__FP2__beta_high,0.8166666666666667,0.008333333333333304,True
inter,irene,rest1_vs_type1,1,7,25,BP__Fz__theta,0.8166666666666667,0.0,False
inter,jh,rest1_vs_type1,2,1,103,PLV__Fz__F8__alpha,0.6916666666666667,,True
inter,jh,rest1_vs_type1,2,2,99,PLV__F3__Fz__alpha,0.7458333333333333,0.054166666666666696,True
inter,jh,rest1_vs_type1,2,3,119,PLV__F7__F8__beta_low,0.7666666666666667,0.02083333333333337,True
inter,jh,rest1_vs_type1,2,4,142,PLV__F3__F4__beta_high,0.7833333333333333,0.016666666666666607,True
inter,jh,rest1_vs_type1,2,5,129,PLV__FP1__Fz__beta_high,0.8041666666666667,0.02083333333333337,True
inter,jh,rest1_vs_type1,2,6,76,PLV__F7__F4__theta,0.8250000000000001,0.02083333333333337,True
inter,jh,rest1_vs_type1,2,7,123,PLV__Fz__F4__beta_low,0.85,0.02499999999999991,True
inter,jh,rest1_vs_type1,2,8,33,BP__F4__beta_low,0.8583333333333333,0.008333333333333304,True
inter,jh,rest1_vs_type1,2,9,62,PLV__F4__F8__delta,0.8583333333333333,0.0,False
inter,lin,rest1_vs_type1,3,1,103,PLV__Fz__F8__alpha,0.6708333333333334,,True
inter,lin,rest1_vs_type1,3,2,100,PLV__F3__F4__alpha,0.725,0.054166666666666585,True
inter,lin,rest1_vs_type1,3,3,165,PLV__Fz__F4__gamma,0.7541666666666667,0.029166666666666674,True
inter,lin,rest1_vs_type1,3,4,127,PLV__FP1__F7__beta_high,0.7583333333333333,0.004166666666666652,True
inter,lin,rest1_vs_type1,3,5,119,PLV__F7__F8__beta_low,0.7708333333333333,0.012499999999999956,True
inter,lin,rest1_vs_type1,3,6,84,PLV__FP1__FP2__alpha,0.8,0.029166666666666785,True
inter,lin,rest1_vs_type1,3,7,49,PLV__FP2__F3__delta,0.8166666666666667,0.016666666666666607,True
inter,lin,rest1_vs_type1,3,8,33,BP__F4__beta_low,0.8208333333333333,0.004166666666666652,True
inter,lin,rest1_vs_type1,3,9,27,BP__Fz__beta_low,0.8208333333333334,1.1102230246251565e-16,False
inter,pftest,rest1_vs_type1,4,1,103,PLV__Fz__F8__alpha,0.6666666666666666,,True
