subject_id,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.8333333333333334,4,PLV__F7__F3__gamma;BP__F7__beta_high;PLV__F3__F4__theta;BP__Fz__alpha,0.9133333333333333,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.8333333333333334,4,PLV__F7__F3__gamma;BP__F7__beta_high;PLV__F3__F4__theta;BP__Fz__alpha,0.9133333333333333,0.9133333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
irene,rest1_vs_type1,1,KFDA,0.8333333333333334,4,PLV__F7__F3__gamma;BP__F7__beta_high;PLV__F3__F4__theta;BP__Fz__alpha,0.9133333333333333,0.9133333333333333,"{""clf__C"": 50.0, ""clf__gamma"": 0.053535523746494146}"
irene,rest1_vs_type1,2,LDA,0.6666666666666666,2,PLV__F7__F3__gamma;PLV__FP2__F7__delta,0.8555555555555555,,{}
irene,rest1_vs_type1,2,RBF-SVM,0.6666666666666666,2,PLV__F7__F3__gamma;PLV__FP2__F7__delta,0.8555555555555555,0.8555555555555555,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,2,KFDA,0.6666666666666666,2,PLV__F7__F3__gamma;PLV__FP2__F7__delta,0.8555555555555555,0.8733333333333334,"{""clf__C"": 1000.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,3,LDA,0.8333333333333334,4,PLV__F7__F3__gamma;PLV__F7__F4__theta;BP__F7__alpha;BP__FP2__gamma,0.8955555555555555,,{}
irene,rest1_vs_type1,3,RBF-SVM,0.8333333333333334,4,PLV__F7__F3__gamma;PLV__F7__F4__theta;BP__F7__alpha;BP__FP2__gamma,0.8955555555555555,0.8955555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
irene,rest1_vs_type1,3,KFDA,0.9166666666666666,4,PLV__F7__F3__gamma;PLV__F7__F4__theta;BP__F7__alpha;BP__FP2__gamma,0.8955555555555555,0.8955555555555555,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest1_vs_type1,4,LDA,0.8333333333333334,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8688888888888888,,{}
irene,rest1_vs_type1,4,RBF-SVM,0.75,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8688888888888888,0.8488888888888889,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,4,KFDA,0.75,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8688888888888888,0.8488888888888889,"{""clf__C"": 10.0, ""clf__gamma"": 0.23137744865585788}"
irene,rest1_vs_type1,5,LDA,0.8333333333333334,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8755555555555554,,{}
irene,rest1_vs_type1,5,RBF-SVM,0.8333333333333334,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8755555555555554,0.8555555555555555,"{""clf__C"": 100.0, ""clf__gamma"": 0.03286616756321879}"
irene,rest1_vs_type1,5,KFDA,0.8333333333333334,2,PLV__F7__F3__gamma;PLV__FP2__F3__gamma,0.8755555555555554,0.8355555555555556,"{""clf__C"": 100.0, ""clf__gamma"": 0.08720372697238048}"
jh,rest1_vs_type1,1,LDA,0.9166666666666666,4,PLV__F7__F8__gamma;BP__F7__alpha;BP__FP1__gamma;PLV__F7__F4__delta,0.96,,{}
