analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,158,PLV__F7__F3__gamma,0.831111111111111,,True
intra,irene,rest1_vs_type1,1,2,16,BP__F7__beta_high,0.8533333333333333,0.022222222222222254,True
intra,irene,rest1_vs_type1,1,3,79,PLV__F3__F4__theta,0.8911111111111112,0.03777777777777791,True
intra,irene,rest1_vs_type1,1,4,26,BP__Fz__alpha,0.9133333333333333,0.022222222222222143,True
intra,irene,rest1_vs_type1,1,5,15,BP__F7__beta_low,0.9133333333333333,0.0,False
intra,irene,rest1_vs_type1,2,1,158,PLV__F7__F3__gamma,0.7888888888888889,,True
intra,irene,rest1_vs_type1,2,2,48,PLV__FP2__F7__delta,0.8555555555555555,0.06666666666666665,True
intra,irene,rest1_vs_type1,2,3,71,PLV__FP2__Fz__theta,0.8555555555555555,0.0,False
intra,irene,rest1_vs_type1,3,1,158,PLV__F7__F3__gamma,0.8155555555555555,,True
intra,irene,rest1_vs_type1,3,2,76,PLV__F7__F4__theta,0.8555555555555555,0.040000000000000036,True
intra,irene,rest1_vs_type1,3,3,14,BP__F7__alpha,0.8755555555555556,0.02000000000000013,True
intra,irene,rest1_vs_type1,3,4,11,BP__FP2__gamma,0.8955555555555555,0.019999999999999907,True
intra,irene,rest1_vs_type1,3,5,3,BP__FP1__beta_low,0.8955555555555555,0.0,False
intra,irene,rest1_vs_type1,4,1,158,PLV__F7__F3__gamma,0.8088888888888889,,True
intra,irene,rest1_vs_type1,4,2,154,PLV__FP2__F3__gamma,0.8688888888888888,0.05999999999999994,True
intra,irene,rest1_vs_type1,4,3,57,PLV__F3__Fz__delta,0.8688888888888888,0.0,False
intra,irene,rest1_vs_type1,5,1,158,PLV__F7__F3__gamma,0.7933333333333332,,True
intra,irene,rest1_vs_type1,5,2,154,PLV__FP2__F3__gamma,0.8755555555555554,0.0822222222222222,True
intra,irene,rest1_vs_type1,5,3,20,BP__F3__alpha,0.8755555555555554,0.0,False
intra,jh,rest1_vs_type1,1,1,161,PLV__F7__F8__gamma,0.8177777777777777,,True
intra,jh,rest1_vs_type1,1,2,14,BP__F7__alpha,0.8755555555555556,0.05777777777777793,True
intra,jh,rest1_vs_type1,1,3,5,BP__FP1__gamma,0.9199999999999999,0.04444444444444429,True
intra,jh,rest1_vs_type1,1,4,55,PLV__F7__F4__delta,0.96,0.040000000000000036,True
intra,jh,rest1_vs_type1,1,5,0,BP__FP1__delta,0.96,0.0,False
intra,jh,rest1_vs_type1,2,1,159,PLV__F7__Fz__gamma,0.8533333333333333,,True
intra,jh,rest1_vs_type1,2,2,14,BP__F7__alpha,0.9199999999999999,0.06666666666666665,True
intra,jh,rest1_vs_type1,2,3,11,BP__FP2__gamma,0.9400000000000001,0.02000000000000013,True
intra,jh,rest1_vs_type1,2,4,69,PLV__FP2__F7__theta,0.9800000000000001,0.040000000000000036,True
intra,jh,rest1_vs_type1,2,5,2,BP__FP1__alpha,0.9800000000000001,0.0,False
intra,jh,rest1_vs_type1,3,1,160,PLV__F7__F4__gamma,0.8111111111111111,,True
intra,jh,rest1_vs_type1,3,2,38,BP__F8__alpha,0.9177777777777777,0.10666666666666658,True
intra,jh,rest1_vs_type1,3,3,58,PLV__F3__F4__delta,0.9377777777777776,0.019999999999999907,True
intra,jh,rest1_vs_type1,3,4,3,BP__FP1__beta_low,0.9400000000000001,0.0022222222222224586,True
intra,jh,rest1_vs_type1,3,5,37,BP__F8__theta,0.96,0.019999999999999907,True
intra,jh,rest1_vs_type1,3,6,45,PLV__FP1__Fz__delta,0.96,0.0,False
intra,jh,rest1_vs_type1,4,1,153,PLV__FP2__F7__gamma,0.8355555555555554,,True
intra,jh,rest1_vs_type1,4,2,20,BP__F3__alpha,0.8777777777777779,0.042222222222222494,True
intra,jh,rest1_vs_type1,4,3,17,BP__F7__gamma,0.9,0.022222222222222143,True
intra,jh,rest1_vs_type1,4,4,100,PLV__F3__F4__alpha,0.9199999999999999,0.019999999999999907,True
intra,jh,rest1_vs_type1,4,5,9,BP__FP2__beta_low,0.9199999999999999,0.0,False
intra,jh,rest1_vs_type1,5,1,161,PLV__F7__F8__gamma,0.7955555555555556,,True
intra,jh,rest1_vs_type1,5,2,95,PLV__F7__F3__alpha,0.9,0.10444444444444445,True
intra,jh,rest1_vs_type1,5,3,100,PLV__F3__F4__alpha,0.9,0.0,False
intra,lin,rest1_vs_type1,1,1,155,PLV__FP2__Fz__gamma,0.8955555555555555,,True
intra,lin,rest1_vs_type1,1,2,110,PLV__FP1__F8__beta_low,0.9155555555555555,0.019999999999999907,True
intra,lin,rest1_vs_type1,1,3,3,BP__FP1__beta_low,0.9377777777777776,0.022222222222222143,True
