subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.8,0.09501461875826149,5
irene,rest1_vs_type1,LDA,0.8,0.07453559924999302,5
irene,rest1_vs_type1,RBF-SVM,0.7833333333333334,0.07453559924999302,5
irene,rest2_vs_type2,KFDA,0.55,0.1728036779443977,5
irene,rest2_vs_type2,LDA,0.5333333333333334,0.1624465724134828,5
irene,rest2_vs_type2,RBF-SVM,0.55,0.17280367794439766,5
jh,rest1_vs_type1,KFDA,0.85,0.12360330811826105,5
jh,rest1_vs_type1,LDA,0.85,0.037267799624996475,5
jh,rest1_vs_type1,RBF-SVM,0.8166666666666668,0.03726779962499651,5
jh,rest2_vs_type2,KFDA,0.5833333333333334,0.21245914639969934,5
jh,rest2_vs_type2,LDA,0.55,0.2006932429798716,5
jh,rest2_vs_type2,RBF-SVM,0.55,0.20916500663351892,5
lin,rest1_vs_type1,KFDA,0.85,0.06972166887783963,5
lin,rest1_vs_type1,LDA,0.9,0.0697216688778396,5
lin,rest1_vs_type1,RBF-SVM,0.85,0.09128709291752768,5
lin,rest2_vs_type2,KFDA,0.95,0.045643546458763874,5
lin,rest2_vs_type2,LDA,0.9666666666666666,0.04564354645876388,5
lin,rest2_vs_type2,RBF-SVM,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,KFDA,0.95,0.07453559924999296,5
pftest,rest1_vs_type1,LDA,0.95,0.07453559924999296,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.07453559924999296,5
pftest,rest2_vs_type2,KFDA,0.75,0.13176156917368242,5
pftest,rest2_vs_type2,LDA,0.75,0.08333333333333338,5
pftest,rest2_vs_type2,RBF-SVM,0.8,0.09501461875826153,5
yen,rest1_vs_type1,KFDA,0.7333333333333333,0.12360330811826102,5
yen,rest1_vs_type1,LDA,0.7166666666666667,0.17280367794439766,5
yen,rest1_vs_type1,RBF-SVM,0.7166666666666666,0.12638125740085918,5
yen,rest2_vs_type2,KFDA,0.6833333333333333,0.10865337342004414,5
yen,rest2_vs_type2,LDA,0.6666666666666667,0.17677669529663687,5
yen,rest2_vs_type2,RBF-SVM,0.65,0.19002923751652304,5
