analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,187,PLV__Fz__F8__alpha,0.7124999999999999,,True
inter,irene,rest1_vs_type1,1,2,183,PLV__F3__Fz__alpha,0.7458333333333333,0.03333333333333344,True
inter,irene,rest1_vs_type1,1,3,174,PLV__FP2__F7__alpha,0.7708333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,4,184,PLV__F3__F4__alpha,0.7958333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,5,86,COH__F7__F8__alpha,0.8208333333333333,0.02499999999999991,True
inter,irene,rest1_vs_type1,1,6,70,COH__F7__F3__beta_high,0.8208333333333333,0.0,False
inter,jh,rest1_vs_type1,2,1,116,COH__Fz__F8__alpha,0.6958333333333333,,True
inter,jh,rest1_vs_type1,2,2,99,COH__F3__F4__beta_low,0.7208333333333333,0.025000000000000022,True
inter,jh,rest1_vs_type1,2,3,87,COH__F7__F8__beta_low,0.7708333333333334,0.050000000000000044,True
inter,jh,rest1_vs_type1,2,4,213,PLV__FP1__Fz__beta_high,0.8125,0.04166666666666663,True
inter,jh,rest1_vs_type1,2,5,59,COH__FP2__F4__gamma,0.8208333333333333,0.008333333333333304,True
inter,jh,rest1_vs_type1,2,6,38,COH__FP2__F7__alpha,0.8166666666666667,-0.004166666666666652,False
inter,lin,rest1_vs_type1,3,1,187,PLV__Fz__F8__alpha,0.6708333333333334,,True
inter,lin,rest1_vs_type1,3,2,184,PLV__F3__F4__alpha,0.725,0.054166666666666585,True
inter,lin,rest1_vs_type1,3,3,80,COH__F7__F4__alpha,0.7583333333333333,0.033333333333333326,True
inter,lin,rest1_vs_type1,3,4,100,COH__F3__F4__beta_high,0.7666666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,5,210,PLV__FP1__FP2__beta_high,0.8083333333333333,0.04166666666666674,True
inter,lin,rest1_vs_type1,3,6,203,PLV__F7__F8__beta_low,0.8583333333333333,0.04999999999999993,True
inter,lin,rest1_vs_type1,3,7,182,PLV__F7__F8__alpha,0.8666666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,8,10,COH__FP1__F7__beta_high,0.8833333333333333,0.01666666666666672,True
inter,lin,rest1_vs_type1,3,9,64,COH__FP2__F8__beta_high,0.8916666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,10,44,COH__FP2__F3__alpha,0.8958333333333334,0.004166666666666763,True
inter,lin,rest1_vs_type1,3,11,167,PLV__F4__F8__theta,0.8958333333333334,0.0,False
inter,pftest,rest1_vs_type1,4,1,187,PLV__Fz__F8__alpha,0.6666666666666666,,True
inter,pftest,rest1_vs_type1,4,2,184,PLV__F3__F4__alpha,0.7041666666666667,0.03750000000000009,True
inter,pftest,rest1_vs_type1,4,3,174,PLV__FP2__F7__alpha,0.7458333333333333,0.04166666666666663,True
inter,pftest,rest1_vs_type1,4,4,140,PLV__F7__F8__delta,0.7833333333333333,0.03749999999999998,True
inter,pftest,rest1_vs_type1,4,5,3,COH__FP1__FP2__beta_low,0.7875,0.004166666666666652,True
