analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,242,PLV__F7__F3__gamma,0.831111111111111,,True
intra,irene,rest1_vs_type1,1,2,60,COH__FP2__F8__delta,0.8733333333333334,0.04222222222222238,True
intra,irene,rest1_vs_type1,1,3,195,PLV__FP2__F7__beta_low,0.9377777777777776,0.0644444444444442,True
intra,irene,rest1_vs_type1,1,4,51,COH__FP2__Fz__beta_low,0.9577777777777777,0.02000000000000013,True
intra,irene,rest1_vs_type1,1,5,12,COH__FP1__F3__delta,0.9577777777777777,0.0,False
intra,irene,rest1_vs_type1,2,1,17,COH__FP1__F3__gamma,0.8377777777777776,,True
intra,irene,rest1_vs_type1,2,2,152,PLV__FP1__F8__theta,0.9577777777777777,0.1200000000000001,True
intra,irene,rest1_vs_type1,2,3,29,COH__FP1__F4__gamma,0.96,0.0022222222222222365,True
intra,irene,rest1_vs_type1,2,4,93,COH__F3__Fz__beta_low,0.9800000000000001,0.02000000000000013,True
intra,irene,rest1_vs_type1,2,5,12,COH__FP1__F3__delta,0.9800000000000001,0.0,False
intra,irene,rest1_vs_type1,3,1,242,PLV__F7__F3__gamma,0.8155555555555555,,True
intra,irene,rest1_vs_type1,3,2,160,PLV__F7__F4__theta,0.8555555555555555,0.040000000000000036,True
intra,irene,rest1_vs_type1,3,3,6,COH__FP1__F7__delta,0.8755555555555556,0.02000000000000013,True
intra,irene,rest1_vs_type1,3,4,4,COH__FP1__FP2__beta_high,0.8755555555555556,0.0,False
intra,irene,rest1_vs_type1,4,1,242,PLV__F7__F3__gamma,0.8088888888888889,,True
intra,irene,rest1_vs_type1,4,2,238,PLV__FP2__F3__gamma,0.8688888888888888,0.05999999999999994,True
intra,irene,rest1_vs_type1,4,3,95,COH__F3__Fz__gamma,0.8711111111111111,0.0022222222222222365,True
intra,irene,rest1_vs_type1,4,4,230,PLV__F4__F8__beta_high,0.9333333333333332,0.06222222222222218,True
intra,irene,rest1_vs_type1,4,5,2,COH__FP1__FP2__alpha,0.9333333333333332,0.0,False
intra,irene,rest1_vs_type1,5,1,242,PLV__F7__F3__gamma,0.7933333333333332,,True
intra,irene,rest1_vs_type1,5,2,12,COH__FP1__F3__delta,0.8777777777777779,0.08444444444444466,True
intra,irene,rest1_vs_type1,5,3,46,COH__FP2__F3__beta_high,0.8977777777777778,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,4,1,COH__FP1__FP2__theta,0.8977777777777778,0.0,False
intra,jh,rest1_vs_type1,1,1,245,PLV__F7__F8__gamma,0.8177777777777777,,True
intra,jh,rest1_vs_type1,1,2,8,COH__FP1__F7__alpha,0.8955555555555555,0.07777777777777783,True
intra,jh,rest1_vs_type1,1,3,100,COH__F3__F4__beta_high,0.9400000000000001,0.04444444444444451,True
intra,jh,rest1_vs_type1,1,4,3,COH__FP1__FP2__beta_low,0.9400000000000001,0.0,False
intra,jh,rest1_vs_type1,2,1,243,PLV__F7__Fz__gamma,0.8533333333333333,,True
intra,jh,rest1_vs_type1,2,2,8,COH__FP1__F7__alpha,0.9377777777777776,0.08444444444444432,True
intra,jh,rest1_vs_type1,2,3,12,COH__FP1__F3__delta,0.96,0.022222222222222365,True
intra,jh,rest1_vs_type1,2,4,77,COH__F7__Fz__gamma,0.9800000000000001,0.02000000000000013,True
intra,jh,rest1_vs_type1,2,5,1,COH__FP1__FP2__theta,0.9800000000000001,0.0,False
intra,jh,rest1_vs_type1,3,1,244,PLV__F7__F4__gamma,0.8111111111111111,,True
intra,jh,rest1_vs_type1,3,2,168,PLV__FP1__FP2__alpha,0.8955555555555555,0.08444444444444443,True
intra,jh,rest1_vs_type1,3,3,115,COH__Fz__F8__theta,0.9177777777777777,0.022222222222222143,True
intra,jh,rest1_vs_type1,3,4,43,COH__FP2__F3__theta,0.9377777777777776,0.019999999999999907,True
intra,jh,rest1_vs_type1,3,5,0,COH__FP1__FP2__delta,0.9377777777777776,0.0,False
intra,jh,rest1_vs_type1,4,1,237,PLV__FP2__F7__gamma,0.8355555555555554,,True
intra,jh,rest1_vs_type1,4,2,168,PLV__FP1__FP2__alpha,0.8777777777777779,0.042222222222222494,True
intra,jh,rest1_vs_type1,4,3,110,COH__Fz__F4__alpha,0.9177777777777777,0.039999999999999813,True
intra,jh,rest1_vs_type1,4,4,15,COH__FP1__F3__beta_low,0.9177777777777777,0.0,False
intra,jh,rest1_vs_type1,5,1,245,PLV__F7__F8__gamma,0.7955555555555556,,True
intra,jh,rest1_vs_type1,5,2,179,PLV__F7__F3__alpha,0.9,0.10444444444444445,True
intra,jh,rest1_vs_type1,5,3,184,PLV__F3__F4__alpha,0.9,0.0,False
intra,lin,rest1_vs_type1,1,1,53,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,1,2,71,COH__F7__F3__gamma,0.96,0.04444444444444451,True
intra,lin,rest1_vs_type1,1,3,40,COH__FP2__F7__beta_high,0.9800000000000001,0.02000000000000013,True
intra,lin,rest1_vs_type1,1,4,2,COH__FP1__FP2__alpha,0.9800000000000001,0.0,False
intra,lin,rest1_vs_type1,2,1,53,COH__FP2__Fz__gamma,0.9177777777777777,,True
intra,lin,rest1_vs_type1,2,2,50,COH__FP2__Fz__alpha,0.9377777777777776,0.019999999999999907,True
intra,lin,rest1_vs_type1,2,3,4,COH__FP1__FP2__beta_high,0.9377777777777776,0.0,False
intra,lin,rest1_vs_type1,3,1,53,COH__FP2__Fz__gamma,0.8777777777777779,,True
intra,lin,rest1_vs_type1,3,2,50,COH__FP2__Fz__alpha,0.9177777777777777,0.039999999999999813,True
intra,lin,rest1_vs_type1,3,3,3,COH__FP1__FP2__beta_low,0.9377777777777776,0.019999999999999907,True
intra,lin,rest1_vs_type1,3,4,7,COH__FP1__F7__theta,0.9377777777777776,0.0,False
intra,lin,rest1_vs_type1,4,1,53,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,4,2,50,COH__FP2__Fz__alpha,0.9355555555555556,0.02000000000000013,True
intra,lin,rest1_vs_type1,4,3,2,COH__FP1__FP2__alpha,0.9355555555555556,0.0,False
intra,lin,rest1_vs_type1,5,1,53,COH__FP2__Fz__gamma,0.9155555555555555,,True
intra,lin,rest1_vs_type1,5,2,11,COH__FP1__F7__gamma,0.96,0.04444444444444451,True
intra,lin,rest1_vs_type1,5,3,2,COH__FP1__FP2__alpha,0.9800000000000001,0.02000000000000013,True
intra,lin,rest1_vs_type1,5,4,1,COH__FP1__FP2__theta,0.9800000000000001,0.0,False
intra,pftest,rest1_vs_type1,1,1,95,COH__F3__Fz__gamma,1.0,,True
intra,pftest,rest1_vs_type1,1,2,0,COH__FP1__FP2__delta,1.0,0.0,False
intra,pftest,rest1_vs_type1,2,1,95,COH__F3__Fz__gamma,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,2,2,4,COH__FP1__FP2__beta_high,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,3,1,94,COH__F3__Fz__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,3,2,20,COH__FP1__Fz__alpha,1.0,0.022222222222222143,True
intra,pftest,rest1_vs_type1,3,3,2,COH__FP1__FP2__alpha,1.0,0.0,False
intra,pftest,rest1_vs_type1,4,1,94,COH__F3__Fz__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,4,2,0,COH__FP1__FP2__delta,0.9777777777777779,0.0,False
intra,pftest,rest1_vs_type1,5,1,16,COH__FP1__F3__beta_high,0.9777777777777779,,True
intra,pftest,rest1_vs_type1,5,2,0,COH__FP1__FP2__delta,0.9777777777777779,0.0,False
intra,yen,rest1_vs_type1,1,1,46,COH__FP2__F3__beta_high,0.8533333333333333,,True
intra,yen,rest1_vs_type1,1,2,0,COH__FP1__FP2__delta,0.8755555555555556,0.022222222222222365,True
intra,yen,rest1_vs_type1,1,3,100,COH__F3__F4__beta_high,0.8977777777777778,0.022222222222222143,True
intra,yen,rest1_vs_type1,1,4,38,COH__FP2__F7__alpha,0.8977777777777778,0.0,False
intra,yen,rest1_vs_type1,2,1,210,PLV__FP1__FP2__beta_high,0.8133333333333332,,True
intra,yen,rest1_vs_type1,2,2,55,COH__FP2__F4__theta,0.86,0.046666666666666745,True
intra,yen,rest1_vs_type1,2,3,8,COH__FP1__F7__alpha,0.8800000000000001,0.02000000000000013,True
intra,yen,rest1_vs_type1,2,4,6,COH__FP1__F7__delta,0.8800000000000001,0.0,False
intra,yen,rest1_vs_type1,3,1,210,PLV__FP1__FP2__beta_high,0.8133333333333332,,True
intra,yen,rest1_vs_type1,3,2,25,COH__FP1__F4__theta,0.8555555555555555,0.04222222222222227,True
intra,yen,rest1_vs_type1,3,3,129,PLV__FP1__Fz__delta,0.9177777777777777,0.06222222222222218,True
intra,yen,rest1_vs_type1,3,4,7,COH__FP1__F7__theta,0.9177777777777777,0.0,False
intra,yen,rest1_vs_type1,4,1,46,COH__FP2__F3__beta_high,0.8533333333333333,,True
intra,yen,rest1_vs_type1,4,2,84,COH__F7__F8__delta,0.8777777777777779,0.024444444444444602,True
intra,yen,rest1_vs_type1,4,3,100,COH__F3__F4__beta_high,0.8977777777777778,0.019999999999999907,True
intra,yen,rest1_vs_type1,4,4,191,PLV__FP1__F3__beta_low,0.9155555555555555,0.01777777777777767,True
intra,yen,rest1_vs_type1,4,5,161,PLV__F7__F8__theta,0.9377777777777776,0.022222222222222143,True
intra,yen,rest1_vs_type1,4,6,19,COH__FP1__Fz__theta,0.96,0.022222222222222365,True
intra,yen,rest1_vs_type1,4,7,6,COH__FP1__F7__delta,0.96,0.0,False
intra,yen,rest1_vs_type1,5,1,46,COH__FP2__F3__beta_high,0.8111111111111111,,True
intra,yen,rest1_vs_type1,5,2,18,COH__FP1__Fz__delta,0.8311111111111111,0.020000000000000018,True
intra,yen,rest1_vs_type1,5,3,8,COH__FP1__F7__alpha,0.8311111111111111,0.0,False
intra,irene,rest2_vs_type2,1,1,152,PLV__FP1__F8__theta,0.7711111111111111,,True
intra,irene,rest2_vs_type2,1,2,167,PLV__F4__F8__theta,0.8133333333333332,0.04222222222222216,True
