subject_id,comparison,classifier,accuracy_mean,accuracy_std,n_outer_folds
irene,rest1_vs_type1,KFDA,0.7166666666666666,0.18257418583505536,5
irene,rest1_vs_type1,LDA,0.6833333333333333,0.14907119849998596,5
irene,rest1_vs_type1,RBF-SVM,0.6666666666666667,0.14433756729740643,5
irene,rest2_vs_type2,KFDA,0.7333333333333333,0.13693063937629152,5
irene,rest2_vs_type2,LDA,0.7,0.09501461875826149,5
irene,rest2_vs_type2,RBF-SVM,0.7333333333333333,0.13693063937629152,5
jh,rest1_vs_type1,KFDA,0.8166666666666667,0.06972166887783962,5
jh,rest1_vs_type1,LDA,0.8166666666666667,0.06972166887783962,5
jh,rest1_vs_type1,RBF-SVM,0.7833333333333334,0.07453559924999303,5
jh,rest2_vs_type2,KFDA,0.6166666666666666,0.16244657241348276,5
jh,rest2_vs_type2,LDA,0.65,0.18066236157232335,5
jh,rest2_vs_type2,RBF-SVM,0.6166666666666667,0.1728036779443977,5
lin,rest1_vs_type1,KFDA,0.9333333333333333,0.10865337342004415,5
lin,rest1_vs_type1,LDA,0.9166666666666666,0.11785113019775792,5
lin,rest1_vs_type1,RBF-SVM,0.9333333333333333,0.10865337342004415,5
lin,rest2_vs_type2,KFDA,0.85,0.10865337342004412,5
lin,rest2_vs_type2,LDA,0.8666666666666666,0.0456435464587638,5
lin,rest2_vs_type2,RBF-SVM,0.8333333333333334,0.05892556509887896,5
pftest,rest1_vs_type1,KFDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,LDA,0.95,0.045643546458763874,5
pftest,rest1_vs_type1,RBF-SVM,0.95,0.045643546458763874,5
pftest,rest2_vs_type2,KFDA,0.7,0.045643546458763874,5
pftest,rest2_vs_type2,LDA,0.7333333333333333,0.06972166887783966,5
pftest,rest2_vs_type2,RBF-SVM,0.7333333333333333,0.06972166887783966,5
yen,rest1_vs_type1,KFDA,0.75,0.08333333333333338,5
yen,rest1_vs_type1,LDA,0.7833333333333334,0.15138251770487454,5
yen,rest1_vs_type1,RBF-SVM,0.7333333333333333,0.10865337342004415,5
yen,rest2_vs_type2,KFDA,0.65,0.18066236157232332,5
yen,rest2_vs_type2,LDA,0.5833333333333333,0.19543398999264291,5
yen,rest2_vs_type2,RBF-SVM,0.6166666666666667,0.1513825177048746,5
