held_out_subject,comparison,outer_fold,classifier,accuracy,n_selected_features,selected_features,sfs_inner_accuracy,grid_inner_accuracy,best_params
irene,rest1_vs_type1,1,LDA,0.75,6,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__delta;PLV__FP2__Fz__theta,0.8083333333333333,,{}
irene,rest1_vs_type1,1,RBF-SVM,0.7666666666666667,6,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__delta;PLV__FP2__Fz__theta,0.8083333333333333,0.7875,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
irene,rest1_vs_type1,1,KFDA,0.75,6,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__FP2__F7__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__delta;PLV__FP2__Fz__theta,0.8083333333333333,0.7875,"{""clf__C"": 50.0, ""clf__gamma"": 0.053535523746494146}"
jh,rest1_vs_type1,2,LDA,0.6666666666666666,8,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__F7__F8__beta_low;ASYM_LOGRATIO__FP1__FP2__beta_high;PLV__F3__F4__beta_high;PLV__F7__F8__delta;PLV__F7__F4__beta_low;PLV__F3__Fz__delta,0.8541666666666666,,{}
jh,rest1_vs_type1,2,RBF-SVM,0.65,8,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__F7__F8__beta_low;ASYM_LOGRATIO__FP1__FP2__beta_high;PLV__F3__F4__beta_high;PLV__F7__F8__delta;PLV__F7__F4__beta_low;PLV__F3__Fz__delta,0.8541666666666666,0.8291666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest1_vs_type1,2,KFDA,0.6166666666666667,8,PLV__Fz__F8__alpha;PLV__F3__Fz__alpha;PLV__F7__F8__beta_low;ASYM_LOGRATIO__FP1__FP2__beta_high;PLV__F3__F4__beta_high;PLV__F7__F8__delta;PLV__F7__F4__beta_low;PLV__F3__Fz__delta,0.8541666666666666,0.8208333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest1_vs_type1,3,LDA,0.6,11,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__Fz__F4__gamma;PLV__FP1__F7__beta_high;ASYM_LOGRATIO__F7__F8__alpha;PLV__FP2__F3__delta;PLV__Fz__F8__beta_low;PLV__F7__F4__alpha;PLV__F7__Fz__theta;PLV__F3__F4__gamma;PLV__FP1__Fz__alpha,0.8375,,{}
lin,rest1_vs_type1,3,RBF-SVM,0.5,11,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__Fz__F4__gamma;PLV__FP1__F7__beta_high;ASYM_LOGRATIO__F7__F8__alpha;PLV__FP2__F3__delta;PLV__Fz__F8__beta_low;PLV__F7__F4__alpha;PLV__F7__Fz__theta;PLV__F3__F4__gamma;PLV__FP1__Fz__alpha,0.8375,0.8041666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.007604489997873477}"
lin,rest1_vs_type1,3,KFDA,0.55,11,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__Fz__F4__gamma;PLV__FP1__F7__beta_high;ASYM_LOGRATIO__F7__F8__alpha;PLV__FP2__F3__delta;PLV__Fz__F8__beta_low;PLV__F7__F4__alpha;PLV__F7__Fz__theta;PLV__F3__F4__gamma;PLV__FP1__Fz__alpha,0.8375,0.7833333333333333,"{""clf__C"": 1000.0, ""clf__gamma"": 0.007604489997873477}"
pftest,rest1_vs_type1,4,LDA,0.7833333333333333,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;ASYM_LOGRATIO__F7__F8__alpha;PLV__Fz__F4__alpha;PLV__FP2__F4__theta,0.7958333333333333,,{}
pftest,rest1_vs_type1,4,RBF-SVM,0.75,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;ASYM_LOGRATIO__F7__F8__alpha;PLV__Fz__F4__alpha;PLV__FP2__F4__theta,0.7958333333333333,0.7833333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.08720372697238048}"
pftest,rest1_vs_type1,4,KFDA,0.7166666666666667,7,PLV__Fz__F8__alpha;PLV__F3__F4__alpha;PLV__FP2__F7__alpha;PLV__F7__F8__delta;ASYM_LOGRATIO__F7__F8__alpha;PLV__Fz__F4__alpha;PLV__FP2__F4__theta,0.7958333333333333,0.7791666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.08720372697238048}"
yen,rest1_vs_type1,5,LDA,0.7166666666666667,5,PLV__Fz__F8__alpha;PLV__F7__F3__beta_high;PLV__FP2__Fz__gamma;PLV__FP1__Fz__theta;PLV__FP1__F3__delta,0.8541666666666665,,{}
yen,rest1_vs_type1,5,RBF-SVM,0.7333333333333333,5,PLV__Fz__F8__alpha;PLV__F7__F3__beta_high;PLV__FP2__Fz__gamma;PLV__FP1__Fz__theta;PLV__FP1__F3__delta,0.8541666666666665,0.8166666666666667,"{""clf__C"": 100.0, ""clf__gamma"": 0.012386912896918909}"
yen,rest1_vs_type1,5,KFDA,0.7333333333333333,5,PLV__Fz__F8__alpha;PLV__F7__F3__beta_high;PLV__FP2__Fz__gamma;PLV__FP1__Fz__theta;PLV__FP1__F3__delta,0.8541666666666665,0.8041666666666666,"{""clf__C"": 100.0, ""clf__gamma"": 0.08720372697238048}"
irene,rest2_vs_type2,1,LDA,0.4166666666666667,3,PLV__F7__F3__alpha;PLV__Fz__F8__theta;PLV__FP1__F8__alpha,0.7041666666666667,,{}
irene,rest2_vs_type2,1,RBF-SVM,0.45,3,PLV__F7__F3__alpha;PLV__Fz__F8__theta;PLV__FP1__F8__alpha,0.7041666666666667,0.6875,"{""clf__C"": 0.1, ""clf__gamma"": 0.3768894828730004}"
irene,rest2_vs_type2,1,KFDA,0.4166666666666667,3,PLV__F7__F3__alpha;PLV__Fz__F8__theta;PLV__FP1__F8__alpha,0.7041666666666667,0.6833333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
jh,rest2_vs_type2,2,LDA,0.5666666666666667,6,PLV__F7__F3__alpha;PLV__F4__F8__alpha;PLV__F3__F8__gamma;PLV__FP2__Fz__alpha;PLV__FP1__F4__beta_low;ASYM_LOGRATIO__F3__F4__beta_low,0.7125,,{}
jh,rest2_vs_type2,2,RBF-SVM,0.5333333333333333,6,PLV__F7__F3__alpha;PLV__F4__F8__alpha;PLV__F3__F8__gamma;PLV__FP2__Fz__alpha;PLV__FP1__F4__beta_low;ASYM_LOGRATIO__F3__F4__beta_low,0.7125,0.6458333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.007604489997873477}"
jh,rest2_vs_type2,2,KFDA,0.5666666666666667,6,PLV__F7__F3__alpha;PLV__F4__F8__alpha;PLV__F3__F8__gamma;PLV__FP2__Fz__alpha;PLV__FP1__F4__beta_low;ASYM_LOGRATIO__F3__F4__beta_low,0.7125,0.5875,"{""clf__C"": 1000.0, ""clf__gamma"": 0.03286616756321879}"
lin,rest2_vs_type2,3,LDA,0.75,4,PLV__F4__F8__alpha;PLV__Fz__F8__delta;PLV__FP1__F3__beta_high;PLV__FP1__F4__delta,0.6416666666666667,,{}
lin,rest2_vs_type2,3,RBF-SVM,0.6333333333333333,4,PLV__F4__F8__alpha;PLV__Fz__F8__delta;PLV__FP1__F3__beta_high;PLV__FP1__F4__delta,0.6416666666666667,0.6041666666666667,"{""clf__C"": 0.1, ""clf__gamma"": 0.14204568230027764}"
lin,rest2_vs_type2,3,KFDA,0.55,4,PLV__F4__F8__alpha;PLV__Fz__F8__delta;PLV__FP1__F3__beta_high;PLV__FP1__F4__delta,0.6416666666666667,0.5874999999999999,"{""clf__C"": 1.0, ""clf__gamma"": 0.053535523746494146}"
pftest,rest2_vs_type2,4,LDA,0.5333333333333333,2,PLV__F7__F3__alpha;ASYM_LOGRATIO__FP1__FP2__beta_high,0.6666666666666666,,{}
pftest,rest2_vs_type2,4,RBF-SVM,0.6,2,PLV__F7__F3__alpha;ASYM_LOGRATIO__FP1__FP2__beta_high,0.6666666666666666,0.6625,"{""clf__C"": 0.1, ""clf__gamma"": 0.3768894828730004}"
pftest,rest2_vs_type2,4,KFDA,0.55,2,PLV__F7__F3__alpha;ASYM_LOGRATIO__FP1__FP2__beta_high,0.6666666666666666,0.6416666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.02017697586015141}"
yen,rest2_vs_type2,5,LDA,0.5166666666666667,3,PLV__F7__F3__alpha;PLV__F3__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.6916666666666667,,{}
yen,rest2_vs_type2,5,RBF-SVM,0.48333333333333334,3,PLV__F7__F3__alpha;PLV__F3__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.6916666666666667,0.6791666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.007604489997873477}"
yen,rest2_vs_type2,5,KFDA,0.5,3,PLV__F7__F3__alpha;PLV__F3__F8__alpha;ASYM_LOGRATIO__FP1__FP2__beta_low,0.6916666666666667,0.6833333333333333,"{""clf__C"": 50.0, ""clf__gamma"": 0.007604489997873477}"
