analysis,subject_id,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
intra,irene,rest1_vs_type1,1,1,17,ASYM_LOGRATIO__F7__F8__gamma,0.9155555555555555,,True
intra,irene,rest1_vs_type1,1,2,52,PLV__F7__F4__theta,0.9333333333333333,0.017777777777777892,True
intra,irene,rest1_vs_type1,1,3,16,ASYM_LOGRATIO__F7__F8__beta_high,0.9555555555555555,0.022222222222222143,True
intra,irene,rest1_vs_type1,1,4,3,ASYM_LOGRATIO__FP1__FP2__beta_low,0.9555555555555555,0.0,False
intra,irene,rest1_vs_type1,2,1,17,ASYM_LOGRATIO__F7__F8__gamma,0.9155555555555555,,True
intra,irene,rest1_vs_type1,2,2,52,PLV__F7__F4__theta,0.9577777777777777,0.04222222222222227,True
intra,irene,rest1_vs_type1,2,3,65,PLV__FP1__F8__alpha,0.9800000000000001,0.022222222222222365,True
intra,irene,rest1_vs_type1,2,4,13,ASYM_LOGRATIO__F7__F8__theta,1.0,0.019999999999999907,True
intra,irene,rest1_vs_type1,2,5,1,ASYM_LOGRATIO__FP1__FP2__theta,1.0,0.0,False
intra,irene,rest1_vs_type1,3,1,17,ASYM_LOGRATIO__F7__F8__gamma,0.9177777777777777,,True
intra,irene,rest1_vs_type1,3,2,138,PLV__F3__Fz__gamma,0.96,0.04222222222222227,True
intra,irene,rest1_vs_type1,3,3,24,PLV__FP2__F7__delta,0.9800000000000001,0.02000000000000013,True
intra,irene,rest1_vs_type1,3,4,3,ASYM_LOGRATIO__FP1__FP2__beta_low,0.9800000000000001,0.0,False
intra,irene,rest1_vs_type1,4,1,17,ASYM_LOGRATIO__F7__F8__gamma,0.9377777777777776,,True
intra,irene,rest1_vs_type1,4,2,101,PLV__F4__F8__beta_low,0.9577777777777777,0.02000000000000013,True
intra,irene,rest1_vs_type1,4,3,1,ASYM_LOGRATIO__FP1__FP2__theta,0.9577777777777777,0.0,False
intra,irene,rest1_vs_type1,5,1,17,ASYM_LOGRATIO__F7__F8__gamma,0.9400000000000001,,True
intra,irene,rest1_vs_type1,5,2,19,PLV__FP1__F7__delta,0.96,0.019999999999999907,True
intra,irene,rest1_vs_type1,5,3,108,PLV__FP2__F7__beta_high,1.0,0.040000000000000036,True
intra,irene,rest1_vs_type1,5,4,7,ASYM_LOGRATIO__F3__F4__theta,1.0,0.0,False
intra,jh,rest1_vs_type1,1,1,137,PLV__F7__F8__gamma,0.8177777777777777,,True
intra,jh,rest1_vs_type1,1,2,10,ASYM_LOGRATIO__F3__F4__beta_high,0.8377777777777776,0.019999999999999907,True
