analysis,held_out_subject,comparison,outer_fold,step,candidate_index,candidate_name,cv_accuracy,improvement,accepted
inter,irene,rest1_vs_type1,1,1,247,PLV__Fz__F8__alpha,0.7124999999999999,,True
inter,irene,rest1_vs_type1,1,2,243,PLV__F3__Fz__alpha,0.7458333333333333,0.03333333333333344,True
inter,irene,rest1_vs_type1,1,3,234,PLV__FP2__F7__alpha,0.7708333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,4,244,PLV__F3__F4__alpha,0.7958333333333334,0.025000000000000022,True
inter,irene,rest1_vs_type1,1,5,128,COH__F7__F8__alpha,0.8208333333333333,0.02499999999999991,True
inter,irene,rest1_vs_type1,1,6,11,BP__FP2__gamma,0.8208333333333333,0.0,False
inter,jh,rest1_vs_type1,2,1,158,COH__Fz__F8__alpha,0.6958333333333333,,True
inter,jh,rest1_vs_type1,2,2,37,BP__F8__theta,0.7458333333333333,0.050000000000000044,True
inter,jh,rest1_vs_type1,2,3,173,ASYM_LOGRATIO__FP1__FP2__gamma,0.7791666666666667,0.033333333333333326,True
inter,jh,rest1_vs_type1,2,4,56,COH__FP1__F3__alpha,0.8166666666666667,0.03749999999999998,True
inter,jh,rest1_vs_type1,2,5,263,PLV__F7__F8__beta_low,0.8333333333333334,0.01666666666666672,True
inter,jh,rest1_vs_type1,2,6,238,PLV__FP2__F8__alpha,0.8458333333333333,0.012499999999999956,True
inter,jh,rest1_vs_type1,2,7,50,COH__FP1__F7__alpha,0.8458333333333333,0.0,False
inter,lin,rest1_vs_type1,3,1,247,PLV__Fz__F8__alpha,0.6708333333333334,,True
inter,lin,rest1_vs_type1,3,2,244,PLV__F3__F4__alpha,0.725,0.054166666666666585,True
inter,lin,rest1_vs_type1,3,3,122,COH__F7__F4__alpha,0.7583333333333333,0.033333333333333326,True
inter,lin,rest1_vs_type1,3,4,142,COH__F3__F4__beta_high,0.7666666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,5,270,PLV__FP1__FP2__beta_high,0.8083333333333333,0.04166666666666674,True
inter,lin,rest1_vs_type1,3,6,263,PLV__F7__F8__beta_low,0.8583333333333333,0.04999999999999993,True
inter,lin,rest1_vs_type1,3,7,242,PLV__F7__F8__alpha,0.8666666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,8,52,COH__FP1__F7__beta_high,0.8833333333333333,0.01666666666666672,True
inter,lin,rest1_vs_type1,3,9,106,COH__FP2__F8__beta_high,0.8916666666666666,0.008333333333333304,True
inter,lin,rest1_vs_type1,3,10,86,COH__FP2__F3__alpha,0.8958333333333334,0.004166666666666763,True
inter,lin,rest1_vs_type1,3,11,28,BP__Fz__beta_high,0.8958333333333334,0.0,False
inter,pftest,rest1_vs_type1,4,1,247,PLV__Fz__F8__alpha,0.6666666666666666,,True
inter,pftest,rest1_vs_type1,4,2,244,PLV__F3__F4__alpha,0.7041666666666667,0.03750000000000009,True
inter,pftest,rest1_vs_type1,4,3,234,PLV__FP2__F7__alpha,0.7458333333333333,0.04166666666666663,True
inter,pftest,rest1_vs_type1,4,4,200,PLV__F7__F8__delta,0.7833333333333333,0.03749999999999998,True
inter,pftest,rest1_vs_type1,4,5,45,COH__FP1__FP2__beta_low,0.7875,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,6,146,COH__F3__F8__alpha,0.7958333333333334,0.008333333333333415,True
inter,pftest,rest1_vs_type1,4,7,190,PLV__FP1__F4__delta,0.8,0.004166666666666652,True
inter,pftest,rest1_vs_type1,4,8,16,BP__F7__beta_high,0.8,0.0,False
inter,yen,rest1_vs_type1,5,1,247,PLV__Fz__F8__alpha,0.6958333333333333,,True
inter,yen,rest1_vs_type1,5,2,281,PLV__F7__F3__beta_high,0.7541666666666667,0.05833333333333335,True
inter,yen,rest1_vs_type1,5,3,95,COH__FP2__Fz__gamma,0.8041666666666666,0.04999999999999993,True
inter,yen,rest1_vs_type1,5,4,179,ASYM_LOGRATIO__F3__F4__gamma,0.8208333333333333,0.01666666666666672,True
inter,yen,rest1_vs_type1,5,5,117,COH__F7__Fz__beta_low,0.8291666666666666,0.008333333333333304,True
inter,yen,rest1_vs_type1,5,6,216,PLV__FP2__F4__theta,0.8333333333333333,0.004166666666666652,True
inter,yen,rest1_vs_type1,5,7,215,PLV__FP2__Fz__theta,0.8333333333333333,0.0,False
inter,irene,rest2_vs_type2,1,1,239,PLV__F7__F3__alpha,0.6583333333333334,,True
inter,irene,rest2_vs_type2,1,2,79,COH__FP2__F7__theta,0.6875,0.029166666666666563,True
inter,irene,rest2_vs_type2,1,3,22,BP__F3__beta_high,0.6958333333333333,0.008333333333333304,True
inter,irene,rest2_vs_type2,1,4,201,PLV__F3__Fz__delta,0.7041666666666666,0.008333333333333304,True
inter,irene,rest2_vs_type2,1,5,155,COH__Fz__F4__gamma,0.7,-0.004166666666666652,False
inter,jh,rest2_vs_type2,2,1,110,COH__F7__F3__alpha,0.6791666666666667,,True
inter,jh,rest2_vs_type2,2,2,177,ASYM_LOGRATIO__F3__F4__beta_low,0.6958333333333333,0.016666666666666607,True
inter,jh,rest2_vs_type2,2,3,170,ASYM_LOGRATIO__FP1__FP2__alpha,0.7041666666666666,0.008333333333333304,True
inter,jh,rest2_vs_type2,2,4,74,COH__FP1__F8__alpha,0.7125,0.008333333333333415,True
inter,jh,rest2_vs_type2,2,5,50,COH__FP1__F7__alpha,0.7083333333333334,-0.004166666666666652,False
inter,lin,rest2_vs_type2,3,1,99,COH__FP2__F4__beta_low,0.6041666666666667,,True
inter,lin,rest2_vs_type2,3,2,256,PLV__FP2__F3__beta_low,0.625,0.02083333333333326,True
inter,lin,rest2_vs_type2,3,3,31,BP__F4__theta,0.6499999999999999,0.02499999999999991,True
inter,lin,rest2_vs_type2,3,4,149,COH__F3__F8__gamma,0.6583333333333333,0.008333333333333415,True
inter,lin,rest2_vs_type2,3,5,23,BP__F3__gamma,0.6583333333333333,0.0,False
inter,pftest,rest2_vs_type2,4,1,110,COH__F7__F3__alpha,0.6083333333333334,,True
inter,pftest,rest2_vs_type2,4,2,16,BP__F7__beta_high,0.6541666666666667,0.04583333333333328,True
inter,pftest,rest2_vs_type2,4,3,248,PLV__F4__F8__alpha,0.6833333333333333,0.029166666666666674,True
inter,pftest,rest2_vs_type2,4,4,146,COH__F3__F8__alpha,0.7,0.016666666666666607,True
inter,pftest,rest2_vs_type2,4,5,10,BP__FP2__beta_high,0.6958333333333333,-0.004166666666666652,False
inter,yen,rest2_vs_type2,5,1,110,COH__F7__F3__alpha,0.6791666666666667,,True
inter,yen,rest2_vs_type2,5,2,122,COH__F7__F4__alpha,0.6875,0.008333333333333304,True
inter,yen,rest2_vs_type2,5,3,144,COH__F3__F8__delta,0.6916666666666667,0.004166666666666652,True
inter,yen,rest2_vs_type2,5,4,48,COH__FP1__F7__delta,0.7041666666666666,0.012499999999999956,True
