role,experiment,feature_set,n_candidate_features,scope,comparison,classifier,accuracy_mean,accuracy_std,n_units
experiment,e2a_plv_only,plv,126,inter,rest1_vs_type1,KFDA,0.7066666666666667,0.12834415538785637,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest1_vs_type1,KFDA,0.6866666666666666,0.12660086009888627,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest1_vs_type1,KFDA,0.6633333333333333,0.04149966532662913,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest1_vs_type1,KFDA,0.6733333333333333,0.08628119403696519,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest1_vs_type1,KFDA,0.62,0.06810938913900849,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest1_vs_type1,KFDA,0.6666666666666666,0.06346477588219923,5
reference,poster_baseline,baseline,168,inter,rest1_vs_type1,KFDA,0.5333333333333334,0.04859126579037753,5
experiment,e2a_plv_only,plv,126,inter,rest1_vs_type1,LDA,0.6666666666666666,0.11606990230986766,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest1_vs_type1,LDA,0.64,0.09902300518341967,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest1_vs_type1,LDA,0.6833333333333333,0.05651941652604391,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest1_vs_type1,LDA,0.7033333333333334,0.07207249436813218,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest1_vs_type1,LDA,0.6466666666666667,0.07763876465901412,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest1_vs_type1,LDA,0.6866666666666668,0.08692269873603534,5
reference,poster_baseline,baseline,168,inter,rest1_vs_type1,LDA,0.5233333333333333,0.05602578771323873,5
experiment,e2a_plv_only,plv,126,inter,rest1_vs_type1,RBF-SVM,0.6900000000000001,0.12560962454277844,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest1_vs_type1,RBF-SVM,0.65,0.10929064207169999,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest1_vs_type1,RBF-SVM,0.6466666666666667,0.036132472314464634,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest1_vs_type1,RBF-SVM,0.6799999999999999,0.11017662587358938,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest1_vs_type1,RBF-SVM,0.61,0.06411794687223782,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest1_vs_type1,RBF-SVM,0.6599999999999999,0.053489355119603996,5
reference,poster_baseline,baseline,168,inter,rest1_vs_type1,RBF-SVM,0.5333333333333333,0.057735026918962554,5
experiment,e2a_plv_only,plv,126,inter,rest2_vs_type2,KFDA,0.53,0.0776387646590141,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest2_vs_type2,KFDA,0.51,0.0886629071884692,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest2_vs_type2,KFDA,0.44666666666666666,0.1578501399006877,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest2_vs_type2,KFDA,0.5166666666666667,0.061237243569579436,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest2_vs_type2,KFDA,0.49000000000000005,0.056025787713238705,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest2_vs_type2,KFDA,0.49333333333333335,0.056025787713238705,5
reference,poster_baseline,baseline,168,inter,rest2_vs_type2,KFDA,0.49000000000000005,0.08465616732800199,5
experiment,e2a_plv_only,plv,126,inter,rest2_vs_type2,LDA,0.5700000000000001,0.11983785341498362,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest2_vs_type2,LDA,0.5433333333333333,0.1346806923389128,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest2_vs_type2,LDA,0.53,0.021730674684008848,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest2_vs_type2,LDA,0.5566666666666666,0.12167808165629317,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest2_vs_type2,LDA,0.53,0.041499665326629104,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest2_vs_type2,LDA,0.5266666666666666,0.04346134936801764,5
reference,poster_baseline,baseline,168,inter,rest2_vs_type2,LDA,0.5266666666666666,0.05348935511960406,5
experiment,e2a_plv_only,plv,126,inter,rest2_vs_type2,RBF-SVM,0.5566666666666666,0.08547254269972059,5
experiment,e2b_bp_plv,bp_plv,168,inter,rest2_vs_type2,RBF-SVM,0.53,0.1063275860515772,5
experiment,e2c_coh_plv,coh_plv,252,inter,rest2_vs_type2,RBF-SVM,0.48,0.16724898272402802,5
experiment,e2d_asym_plv,asym_plv,144,inter,rest2_vs_type2,RBF-SVM,0.5399999999999999,0.07691987172809549,5
experiment,e3_all_extensions,baseline_asym_plv,312,inter,rest2_vs_type2,RBF-SVM,0.5133333333333334,0.027386127875258334,5
reference,e2_full_baseline_plv,baseline_plv,294,inter,rest2_vs_type2,RBF-SVM,0.5166666666666667,0.026352313834736553,5
