experiment,scope,comparison,family,selection_occurrences,fold_presence_count,n_outer_units,fold_presence_fraction
e2_full_baseline_plv,inter,rest1_vs_type1,BP,3,2,5,0.4
e2_full_baseline_plv,inter,rest1_vs_type1,COH,16,5,5,1.0
e2_full_baseline_plv,inter,rest1_vs_type1,PLV,23,5,5,1.0
e2a_plv_only,inter,rest1_vs_type1,PLV,37,5,5,1.0
e2b_bp_plv,inter,rest1_vs_type1,BP,4,3,5,0.6
e2b_bp_plv,inter,rest1_vs_type1,PLV,32,5,5,1.0
e2c_coh_plv,inter,rest1_vs_type1,COH,15,5,5,1.0
e2c_coh_plv,inter,rest1_vs_type1,PLV,20,5,5,1.0
e2d_asym_plv,inter,rest1_vs_type1,ASYM,3,3,5,0.6
e2d_asym_plv,inter,rest1_vs_type1,PLV,34,5,5,1.0
e3_all_extensions,inter,rest1_vs_type1,ASYM,2,2,5,0.4
e3_all_extensions,inter,rest1_vs_type1,BP,1,1,5,0.2
e3_all_extensions,inter,rest1_vs_type1,COH,12,5,5,1.0
e3_all_extensions,inter,rest1_vs_type1,PLV,19,5,5,1.0
poster_baseline,inter,rest1_vs_type1,BP,7,4,5,0.8
poster_baseline,inter,rest1_vs_type1,COH,22,5,5,1.0
e2_full_baseline_plv,inter,rest2_vs_type2,BP,4,4,5,0.8
e2_full_baseline_plv,inter,rest2_vs_type2,COH,11,5,5,1.0
e2_full_baseline_plv,inter,rest2_vs_type2,PLV,4,3,5,0.6
e2a_plv_only,inter,rest2_vs_type2,PLV,19,5,5,1.0
e2b_bp_plv,inter,rest2_vs_type2,BP,1,1,5,0.2
e2b_bp_plv,inter,rest2_vs_type2,PLV,15,5,5,1.0
e2c_coh_plv,inter,rest2_vs_type2,COH,14,5,5,1.0
e2c_coh_plv,inter,rest2_vs_type2,PLV,7,4,5,0.8
e2d_asym_plv,inter,rest2_vs_type2,ASYM,3,3,5,0.6
e2d_asym_plv,inter,rest2_vs_type2,PLV,15,5,5,1.0
e3_all_extensions,inter,rest2_vs_type2,ASYM,2,1,5,0.2
e3_all_extensions,inter,rest2_vs_type2,BP,3,3,5,0.6
e3_all_extensions,inter,rest2_vs_type2,COH,12,5,5,1.0
e3_all_extensions,inter,rest2_vs_type2,PLV,4,3,5,0.6
poster_baseline,inter,rest2_vs_type2,BP,3,3,5,0.6
poster_baseline,inter,rest2_vs_type2,COH,19,5,5,1.0
e2_full_baseline_plv,intra,rest1_vs_type1,BP,20,12,25,0.48
e2_full_baseline_plv,intra,rest1_vs_type1,COH,40,23,25,0.92
e2_full_baseline_plv,intra,rest1_vs_type1,PLV,18,12,25,0.48
e2a_plv_only,intra,rest1_vs_type1,PLV,75,25,25,1.0
e2b_bp_plv,intra,rest1_vs_type1,BP,27,15,25,0.6
e2b_bp_plv,intra,rest1_vs_type1,PLV,52,25,25,1.0
e2c_coh_plv,intra,rest1_vs_type1,COH,48,24,25,0.96
e2c_coh_plv,intra,rest1_vs_type1,PLV,22,13,25,0.52
e2d_asym_plv,intra,rest1_vs_type1,ASYM,17,13,25,0.52
e2d_asym_plv,intra,rest1_vs_type1,PLV,53,25,25,1.0
e3_all_extensions,intra,rest1_vs_type1,ASYM,7,7,25,0.28
e3_all_extensions,intra,rest1_vs_type1,BP,18,12,25,0.48
e3_all_extensions,intra,rest1_vs_type1,COH,35,21,25,0.84
e3_all_extensions,intra,rest1_vs_type1,PLV,13,11,25,0.44
poster_baseline,intra,rest1_vs_type1,BP,27,16,25,0.64
poster_baseline,intra,rest1_vs_type1,COH,54,25,25,1.0
e2_full_baseline_plv,intra,rest2_vs_type2,BP,27,16,25,0.64
e2_full_baseline_plv,intra,rest2_vs_type2,COH,42,23,25,0.92
e2_full_baseline_plv,intra,rest2_vs_type2,PLV,26,17,25,0.68
e2a_plv_only,intra,rest2_vs_type2,PLV,85,25,25,1.0
e2b_bp_plv,intra,rest2_vs_type2,BP,39,21,25,0.84
e2b_bp_plv,intra,rest2_vs_type2,PLV,57,23,25,0.92
e2c_coh_plv,intra,rest2_vs_type2,COH,56,24,25,0.96
e2c_coh_plv,intra,rest2_vs_type2,PLV,31,16,25,0.64
e2d_asym_plv,intra,rest2_vs_type2,ASYM,23,14,25,0.56
e2d_asym_plv,intra,rest2_vs_type2,PLV,76,24,25,0.96
e3_all_extensions,intra,rest2_vs_type2,ASYM,8,6,25,0.24
e3_all_extensions,intra,rest2_vs_type2,BP,24,15,25,0.6
e3_all_extensions,intra,rest2_vs_type2,COH,43,22,25,0.88
e3_all_extensions,intra,rest2_vs_type2,PLV,24,16,25,0.64
poster_baseline,intra,rest2_vs_type2,BP,34,19,25,0.76
poster_baseline,intra,rest2_vs_type2,COH,54,24,25,0.96
